BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,2.704,2.920,0.112,1.791,1.975,0.087,0.913,0.945,0.077,4.6834,4.9898,6.250,4.169,21.094,13.366,-1
0,195,28.165,3.053,1.855,27.185,2.112,1.851,0.980,0.942,0.088,4.4101,4.8315,6.250,5.642,21.250,16.660,-1
0,-1,28.165,3.053,1.855,27.185,2.112,1.851,0.980,0.942,0.088,-1,-1,-1,-1,-1,-1,0.24
1,0,28.165,3.053,1.855,27.185,2.112,1.851,0.980,0.942,0.088,4.6362,4.6362,6.641,6.641,22.656,22.656,-1
1,100,3.110,3.012,1.522,2.051,2.067,1.518,1.059,0.944,0.088,4.6135,4.5123,6.250,8.288,21.094,23.395,-1
1,195,1.884,2.990,1.316,0.816,2.034,1.313,1.068,0.956,0.098,4.8086,4.4649,5.000,8.916,17.500,24.440,-1
1,-1,1.884,2.990,1.316,0.816,2.034,1.313,1.068,0.956,0.098,-1,-1,-1,-1,-1,-1,0.42
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.407,1.410,0.049,1.320,1.300,0.063,0.087,0.109,0.076,4.6863,4.9913,4.688,4.069,19.531,13.243,-1
0,195,27.331,1.552,1.901,27.237,1.434,1.904,0.094,0.119,0.088,4.4265,4.8393,5.000,5.448,23.750,16.404,-1
0,-1,27.331,1.552,1.901,27.237,1.434,1.904,0.094,0.119,0.088,-1,-1,-1,-1,-1,-1,0.21
1,0,27.331,1.552,1.901,27.237,1.434,1.904,0.094,0.119,0.088,4.6245,4.6245,7.812,7.812,22.266,22.266,-1
1,100,1.404,1.506,1.559,1.319,1.388,1.561,0.086,0.118,0.087,4.6165,4.5279,5.469,8.130,20.312,22.912,-1
1,195,0.592,1.480,1.346,0.498,1.363,1.348,0.094,0.117,0.086,4.8185,4.4783,6.250,8.738,18.750,24.114,-1
1,-1,0.592,1.480,1.346,0.498,1.363,1.348,0.094,0.117,0.086,-1,-1,-1,-1,-1,-1,0.49
2,0,0.592,1.480,1.346,0.498,1.363,1.348,0.094,0.117,0.086,4.4254,4.4254,9.375,9.375,25.000,25.000,-1
2,100,1.416,1.469,1.207,1.328,1.344,1.209,0.088,0.125,0.096,4.3632,4.3288,10.156,10.326,30.469,27.437,-1
2,195,0.505,1.458,1.101,0.421,1.336,1.102,0.084,0.122,0.093,4.3253,4.2936,10.000,10.836,30.000,28.324,-1
2,-1,0.505,1.458,1.101,0.421,1.336,1.102,0.084,0.122,0.093,-1,-1,-1,-1,-1,-1,0.11
3,0,0.505,1.458,1.101,0.421,1.336,1.102,0.084,0.122,0.093,4.1839,4.1839,11.719,11.719,29.688,29.688,-1
3,100,1.460,1.452,1.021,1.307,1.331,1.022,0.153,0.121,0.091,4.1650,4.1386,14.062,13.150,32.812,32.314,-1
3,195,0.629,1.446,0.955,0.494,1.327,0.956,0.136,0.120,0.089,4.2099,4.1058,11.250,13.642,32.500,33.024,-1
3,-1,0.629,1.446,0.955,0.494,1.327,0.956,0.136,0.120,0.089,-1,-1,-1,-1,-1,-1,3.04
4,0,0.629,1.446,0.955,0.494,1.327,0.956,0.136,0.120,0.089,4.0942,4.0942,17.188,17.188,30.859,30.859,-1
4,100,1.422,1.444,0.902,1.315,1.320,0.903,0.107,0.124,0.094,3.9822,3.9570,16.797,15.559,35.156,36.084,-1
4,195,0.581,1.440,0.855,0.495,1.318,0.856,0.086,0.122,0.092,3.8280,3.9202,20.000,16.090,40.000,37.142,-1
4,-1,0.581,1.440,0.855,0.495,1.318,0.856,0.086,0.122,0.092,-1,-1,-1,-1,-1,-1,0.39
5,0,0.581,1.440,0.855,0.495,1.318,0.856,0.086,0.122,0.092,3.9365,3.9365,16.016,16.016,36.328,36.328,-1
5,100,1.404,1.438,0.816,1.315,1.316,0.817,0.089,0.122,0.092,3.7835,3.7656,14.453,18.638,42.969,41.402,-1
5,195,0.517,1.436,0.782,0.424,1.310,0.783,0.093,0.126,0.097,3.8189,3.7254,13.750,18.976,37.500,42.030,-1
