BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,3.036,3.013,0.067,2.876,2.867,0.057,0.160,0.145,0.024,5.0855,5.6898,3.125,2.263,14.062,8.366,-1
0,195,28.508,3.150,1.870,28.365,3.005,1.870,0.144,0.145,0.025,5.0741,5.3471,1.250,3.340,6.250,11.290,-1
0,-1,28.508,3.150,1.870,28.365,3.005,1.870,0.144,0.145,0.025,-1,-1,-1,-1,-1,-1,0.07
1,0,28.508,3.150,1.870,28.365,3.005,1.870,0.144,0.145,0.025,4.8848,4.8848,4.688,4.688,15.234,15.234,-1
1,100,3.042,3.106,1.533,2.908,2.962,1.533,0.134,0.144,0.024,4.7988,4.8473,2.734,5.047,16.406,16.406,-1
1,195,1.442,3.080,1.326,1.304,2.936,1.325,0.138,0.144,0.023,4.7647,4.8253,3.750,5.290,15.000,16.730,-1
1,-1,1.442,3.080,1.326,1.304,2.936,1.325,0.138,0.144,0.023,-1,-1,-1,-1,-1,-1,0.42
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.484,1.474,0.008,1.466,1.456,0.008,0.018,0.018,0.001,5.0855,5.6898,3.125,2.263,14.062,8.366,-1
0,195,25.669,1.608,1.774,25.651,1.589,1.774,0.018,0.018,0.001,5.0741,5.3471,1.250,3.340,6.250,11.290,-1
0,-1,25.669,1.608,1.774,25.651,1.589,1.774,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.07
1,0,25.669,1.608,1.774,25.651,1.589,1.774,0.018,0.018,0.001,4.8848,4.8848,4.688,4.688,15.234,15.234,-1
1,100,1.471,1.565,1.454,1.453,1.547,1.454,0.018,0.018,0.001,4.7988,4.8472,2.734,5.039,16.406,16.406,-1
