BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.411,1.412,0.092,1.269,1.256,0.074,0.142,0.156,0.079,4.8081,5.2652,3.125,3.098,17.969,10.965,-1
0,195,25.503,1.542,1.769,25.367,1.386,1.770,0.136,0.157,0.081,5.0400,5.0431,2.500,4.202,7.500,13.720,-1
0,-1,25.503,1.542,1.769,25.367,1.386,1.770,0.136,0.157,0.081,-1,-1,-1,-1,-1,-1,0.27
1,0,25.503,1.542,1.769,25.367,1.386,1.770,0.136,0.157,0.081,4.7364,4.7364,6.641,6.641,18.359,18.359,-1
1,100,1.442,1.498,1.450,1.277,1.347,1.450,0.165,0.151,0.073,4.6914,4.7054,5.078,6.424,17.578,19.044,-1
1,195,0.505,1.473,1.253,0.398,1.327,1.252,0.107,0.146,0.067,4.5743,4.6833,5.000,6.742,22.500,19.622,-1
1,-1,0.505,1.473,1.253,0.398,1.327,1.252,0.107,0.146,0.067,-1,-1,-1,-1,-1,-1,0.14
2,0,0.505,1.473,1.253,0.398,1.327,1.252,0.107,0.146,0.067,4.5040,4.5040,11.328,11.328,22.266,22.266,-1
2,100,1.384,1.462,1.124,1.274,1.313,1.123,0.110,0.149,0.070,4.5899,4.5878,7.422,7.666,23.047,21.651,-1
2,195,0.605,1.454,1.024,0.483,1.297,1.025,0.123,0.156,0.081,4.4637,4.5642,8.750,8.098,26.250,22.502,-1
2,-1,0.605,1.454,1.024,0.483,1.297,1.025,0.123,0.156,0.081,-1,-1,-1,-1,-1,-1,0.09
3,0,0.605,1.454,1.024,0.483,1.297,1.025,0.123,0.156,0.081,4.4514,4.4514,8.984,8.984,23.438,23.438,-1
3,100,1.393,1.449,0.950,1.282,1.292,0.950,0.112,0.156,0.080,4.5130,4.4765,9.375,8.942,26.172,24.524,-1
3,195,0.634,1.444,0.888,0.481,1.287,0.888,0.153,0.157,0.080,4.4023,4.4587,7.500,9.120,25.000,24.898,-1
3,-1,0.634,1.444,0.888,0.481,1.287,0.888,0.153,0.157,0.080,-1,-1,-1,-1,-1,-1,0.78
4,0,0.634,1.444,0.888,0.481,1.287,0.888,0.153,0.157,0.080,4.4514,4.4514,7.031,7.031,25.781,25.781,-1
4,100,1.661,1.441,0.839,1.265,1.284,0.839,0.395,0.157,0.079,4.3931,4.3960,8.984,10.187,25.000,26.284,-1
4,195,0.601,1.437,0.796,0.493,1.281,0.796,0.108,0.156,0.080,4.3113,4.3706,11.250,10.418,28.750,26.974,-1
