BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.512,1.478,0.115,1.360,1.301,0.085,0.152,0.177,0.089,5.0311,5.8033,2.734,1.214,10.547,5.295,-1
0,195,30.682,1.634,2.144,30.508,1.461,2.143,0.174,0.173,0.084,4.7390,5.3736,5.000,2.316,15.000,8.690,-1
0,-1,30.682,1.634,2.144,30.508,1.461,2.143,0.174,0.173,0.084,-1,-1,-1,-1,-1,-1,0.07
1,0,30.682,1.634,2.144,30.508,1.461,2.143,0.174,0.173,0.084,4.7741,4.7741,7.031,7.031,20.703,20.703,-1
1,100,1.480,1.586,1.757,1.354,1.418,1.756,0.126,0.168,0.076,4.7365,4.6450,7.031,5.875,17.969,18.707,-1
1,195,0.676,1.562,1.518,0.543,1.394,1.516,0.133,0.167,0.076,4.6628,4.5561,8.750,6.840,22.500,20.928,-1
1,-1,0.676,1.562,1.518,0.543,1.394,1.516,0.133,0.167,0.076,-1,-1,-1,-1,-1,-1,0.23
2,0,0.676,1.562,1.518,0.543,1.394,1.516,0.133,0.167,0.076,4.4255,4.4255,9.375,9.375,20.312,20.312,-1
2,100,1.449,1.547,1.361,1.331,1.380,1.359,0.119,0.167,0.077,4.2803,4.2743,8.203,10.377,27.734,28.299,-1
2,195,0.716,1.534,1.241,0.576,1.370,1.238,0.140,0.164,0.073,3.9393,4.2105,13.750,11.272,41.250,29.768,-1
2,-1,0.716,1.534,1.241,0.576,1.370,1.238,0.140,0.164,0.073,-1,-1,-1,-1,-1,-1,0.25
3,0,0.716,1.534,1.241,0.576,1.370,1.238,0.140,0.164,0.073,4.1476,4.1476,13.281,13.281,30.469,30.469,-1
3,100,1.465,1.527,1.151,1.332,1.364,1.148,0.133,0.163,0.072,4.0745,4.0053,14.453,14.581,33.594,35.156,-1
