BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.507,1.475,0.142,1.335,1.283,0.109,0.172,0.192,0.094,4.7234,5.1435,7.031,3.338,17.578,11.765,-1
0,195,28.368,1.615,1.978,28.229,1.414,1.980,0.140,0.200,0.106,5.0363,4.9582,2.500,4.610,11.250,14.480,-1
0,-1,28.368,1.615,1.978,28.229,1.414,1.980,0.140,0.200,0.106,-1,-1,-1,-1,-1,-1,0.3
1,0,28.368,1.615,1.978,28.229,1.414,1.980,0.140,0.200,0.106,4.6773,4.6773,7.812,7.812,18.750,18.750,-1
1,100,1.441,1.568,1.622,1.291,1.362,1.624,0.150,0.206,0.110,4.6319,4.6494,5.859,7.066,19.531,20.069,-1
1,195,0.690,1.541,1.401,0.485,1.336,1.403,0.205,0.205,0.104,4.5096,4.6287,6.250,7.358,25.000,20.766,-1
1,-1,0.690,1.541,1.401,0.485,1.336,1.403,0.205,0.205,0.104,-1,-1,-1,-1,-1,-1,0.26
2,0,0.690,1.541,1.401,0.485,1.336,1.403,0.205,0.205,0.104,4.4278,4.4278,9.766,9.766,29.297,29.297,-1
2,100,1.482,1.530,1.259,1.306,1.321,1.258,0.175,0.209,0.108,4.4982,4.5126,9.766,8.400,25.000,23.789,-1
2,195,0.727,1.522,1.149,0.531,1.309,1.148,0.196,0.213,0.110,4.3977,4.4855,8.750,8.932,27.500,24.360,-1
2,-1,0.727,1.522,1.149,0.531,1.309,1.148,0.196,0.213,0.110,-1,-1,-1,-1,-1,-1,0.08
3,0,0.727,1.522,1.149,0.531,1.309,1.148,0.196,0.213,0.110,4.3642,4.3642,13.281,13.281,26.953,26.953,-1
3,100,1.501,1.515,1.066,1.261,1.306,1.065,0.240,0.209,0.107,4.4532,4.3947,9.375,9.800,28.906,26.218,-1
3,195,0.679,1.508,0.997,0.521,1.302,0.995,0.157,0.206,0.104,4.2355,4.3720,8.750,10.038,31.250,26.830,-1
3,-1,0.679,1.508,0.997,0.521,1.302,0.995,0.157,0.206,0.104,-1,-1,-1,-1,-1,-1,1.41
4,0,0.679,1.508,0.997,0.521,1.302,0.995,0.157,0.206,0.104,4.3790,4.3790,9.766,9.766,28.125,28.125,-1
4,100,1.434,1.506,0.943,1.293,1.298,0.940,0.141,0.208,0.106,4.3111,4.2939,8.203,11.305,25.391,28.581,-1
4,195,0.585,1.502,0.895,0.426,1.289,0.892,0.159,0.212,0.110,4.2421,4.2670,12.500,11.438,31.250,29.308,-1
4,-1,0.585,1.502,0.895,0.426,1.289,0.892,0.159,0.212,0.110,-1,-1,-1,-1,-1,-1,0.26
5,0,0.585,1.502,0.895,0.426,1.289,0.892,0.159,0.212,0.110,4.4041,4.4041,8.594,8.594,26.953,26.953,-1
5,100,1.532,1.499,0.854,1.371,1.289,0.852,0.161,0.210,0.109,3.9171,4.2077,14.844,12.326,34.375,30.790,-1
5,195,0.688,1.497,0.818,0.488,1.284,0.816,0.200,0.212,0.109,4.2237,4.1865,6.250,12.512,38.750,31.174,-1
5,-1,0.688,1.497,0.818,0.488,1.284,0.816,0.200,0.212,0.109,-1,-1,-1,-1,-1,-1,0.43
6,0,0.688,1.497,0.818,0.488,1.284,0.816,0.200,0.212,0.109,4.0716,4.0716,12.500,12.500,31.250,31.250,-1
6,100,1.434,1.495,0.787,1.292,1.284,0.785,0.142,0.211,0.108,3.9176,4.0968,13.281,13.850,37.500,33.103,-1
6,195,0.754,1.492,0.759,0.560,1.281,0.757,0.194,0.212,0.108,3.7777,4.0638,13.750,14.152,48.750,34.016,-1
6,-1,0.754,1.492,0.759,0.560,1.281,0.757,0.194,0.212,0.108,-1,-1,-1,-1,-1,-1,2.28
7,0,0.754,1.492,0.759,0.560,1.281,0.757,0.194,0.212,0.108,3.9905,3.9905,12.109,12.109,35.938,35.938,-1
7,100,1.548,1.493,0.735,1.416,1.279,0.732,0.132,0.214,0.110,4.0571,3.9761,16.797,15.165,35.547,36.255,-1
7,195,0.656,1.491,0.712,0.482,1.279,0.709,0.174,0.212,0.108,3.6952,3.9569,22.500,15.526,43.750,36.574,-1
7,-1,0.656,1.491,0.712,0.482,1.279,0.709,0.174,0.212,0.108,-1,-1,-1,-1,-1,-1,0.43
8,0,0.656,1.491,0.712,0.482,1.279,0.709,0.174,0.212,0.108,3.9187,3.9187,17.188,17.188,35.547,35.547,-1
8,100,1.456,1.490,0.692,1.255,1.277,0.689,0.201,0.213,0.109,3.9502,3.9004,17.188,16.650,34.375,37.949,-1
8,195,0.620,1.489,0.673,0.491,1.276,0.670,0.128,0.212,0.108,3.7570,3.8891,16.250,16.694,43.750,38.286,-1
8,-1,0.620,1.489,0.673,0.491,1.276,0.670,0.128,0.212,0.108,-1,-1,-1,-1,-1,-1,0.47
9,0,0.620,1.489,0.673,0.491,1.276,0.670,0.128,0.212,0.108,3.8284,3.8284,14.453,14.453,41.406,41.406,-1
9,100,1.739,1.488,0.656,1.293,1.277,0.653,0.446,0.211,0.108,3.9616,3.8108,16.406,17.713,35.938,40.022,-1
9,195,0.726,1.486,0.639,0.559,1.276,0.636,0.167,0.210,0.107,4.0296,3.7876,8.750,18.016,32.500,40.512,-1
9,-1,0.726,1.486,0.639,0.559,1.276,0.636,0.167,0.210,0.107,-1,-1,-1,-1,-1,-1,0.08
10,0,0.726,1.486,0.639,0.559,1.276,0.636,0.167,0.210,0.107,3.7485,3.7485,19.141,19.141,44.141,44.141,-1
10,100,1.417,1.485,0.625,1.267,1.276,0.622,0.150,0.210,0.106,3.7034,3.7301,17.578,19.059,41.797,41.897,-1
10,195,1.044,1.485,0.611,0.592,1.276,0.608,0.452,0.209,0.106,4.0403,3.7137,16.250,19.376,33.750,42.148,-1
10,-1,1.044,1.485,0.611,0.592,1.276,0.608,0.452,0.209,0.106,-1,-1,-1,-1,-1,-1,0.65
11,0,1.044,1.485,0.611,0.592,1.276,0.608,0.452,0.209,0.106,3.6920,3.6920,19.141,19.141,42.578,42.578,-1
11,100,1.060,1.485,0.598,0.991,1.275,0.595,0.068,0.210,0.107,3.7133,3.6272,19.531,20.533,41.016,44.257,-1
11,195,0.880,1.484,0.587,0.430,1.273,0.583,0.449,0.211,0.108,3.5346,3.6303,18.750,20.358,46.250,44.052,-1
11,-1,0.880,1.484,0.587,0.430,1.273,0.583,0.449,0.211,0.108,-1,-1,-1,-1,-1,-1,0.59
12,0,0.880,1.484,0.587,0.430,1.273,0.583,0.449,0.211,0.108,3.5155,3.5155,20.312,20.312,48.828,48.828,-1
12,100,1.448,1.484,0.576,1.255,1.272,0.572,0.193,0.212,0.108,3.3967,3.5622,24.609,21.403,50.000,45.440,-1
12,195,0.701,1.483,0.565,0.549,1.269,0.562,0.152,0.214,0.110,3.6490,3.5463,20.000,21.740,48.750,45.900,-1
12,-1,0.701,1.483,0.565,0.549,1.269,0.562,0.152,0.214,0.110,-1,-1,-1,-1,-1,-1,0.94
13,0,0.701,1.483,0.565,0.549,1.269,0.562,0.152,0.214,0.110,3.6157,3.6157,21.484,21.484,41.406,41.406,-1
13,100,1.692,1.483,0.555,1.261,1.269,0.552,0.431,0.214,0.110,3.6266,3.4817,21.094,22.792,44.531,47.374,-1
13,195,0.714,1.482,0.545,0.518,1.269,0.542,0.196,0.213,0.109,3.5189,3.4810,25.000,22.780,43.750,47.098,-1
13,-1,0.714,1.482,0.545,0.518,1.269,0.542,0.196,0.213,0.109,-1,-1,-1,-1,-1,-1,0.99
14,0,0.714,1.482,0.545,0.518,1.269,0.542,0.196,0.213,0.109,3.2894,3.2894,22.656,22.656,51.953,51.953,-1
14,100,1.560,1.482,0.537,1.340,1.269,0.533,0.220,0.213,0.108,3.5486,3.4121,20.312,24.323,43.359,48.878,-1
14,195,0.637,1.481,0.528,0.481,1.269,0.524,0.156,0.212,0.108,3.4205,3.4189,22.500,24.120,55.000,48.616,-1
14,-1,0.637,1.481,0.528,0.481,1.269,0.524,0.156,0.212,0.108,-1,-1,-1,-1,-1,-1,0.65
15,0,0.637,1.481,0.528,0.481,1.269,0.524,0.156,0.212,0.108,3.4227,3.4227,26.953,26.953,45.312,45.312,-1
15,100,1.500,1.481,0.520,1.326,1.270,0.516,0.174,0.211,0.107,3.4229,3.3637,21.484,24.787,53.516,50.228,-1
15,195,0.931,1.481,0.513,0.503,1.268,0.509,0.429,0.212,0.108,3.5367,3.3475,23.750,25.092,43.750,50.474,-1
15,-1,0.931,1.481,0.513,0.503,1.268,0.509,0.429,0.212,0.108,-1,-1,-1,-1,-1,-1,0.7
16,0,0.931,1.481,0.513,0.503,1.268,0.509,0.429,0.212,0.108,3.3202,3.3202,24.609,24.609,50.000,50.000,-1
16,100,1.542,1.480,0.505,1.116,1.268,0.501,0.426,0.212,0.108,3.3929,3.3043,22.266,26.095,48.438,51.238,-1
16,195,0.858,1.480,0.498,0.431,1.268,0.494,0.427,0.212,0.107,3.2130,3.2781,31.250,26.508,55.000,51.752,-1
16,-1,0.858,1.480,0.498,0.431,1.268,0.494,0.427,0.212,0.107,-1,-1,-1,-1,-1,-1,1.05
17,0,0.858,1.480,0.498,0.431,1.268,0.494,0.427,0.212,0.107,3.1487,3.1487,28.906,28.906,55.078,55.078,-1
17,100,1.422,1.479,0.492,1.259,1.267,0.487,0.162,0.212,0.108,3.3967,3.2273,25.781,27.348,48.438,52.355,-1
17,195,0.987,1.479,0.486,0.552,1.267,0.481,0.435,0.213,0.108,3.2089,3.2167,35.000,27.370,50.000,52.888,-1
17,-1,0.987,1.479,0.486,0.552,1.267,0.481,0.435,0.213,0.108,-1,-1,-1,-1,-1,-1,0.46
18,0,0.987,1.479,0.486,0.552,1.267,0.481,0.435,0.213,0.108,3.3955,3.3955,23.828,23.828,52.344,52.344,-1
18,100,1.201,1.479,0.480,1.035,1.266,0.475,0.166,0.213,0.109,2.9022,3.1662,32.031,28.164,59.375,54.262,-1
18,195,0.696,1.479,0.474,0.530,1.265,0.469,0.167,0.214,0.109,3.1915,3.1497,27.500,28.782,55.000,54.632,-1
18,-1,0.696,1.479,0.474,0.530,1.265,0.469,0.167,0.214,0.109,-1,-1,-1,-1,-1,-1,0.76
19,0,0.696,1.479,0.474,0.530,1.265,0.469,0.167,0.214,0.109,3.1672,3.1672,28.906,28.906,57.422,57.422,-1
19,100,1.580,1.479,0.468,1.377,1.265,0.463,0.203,0.214,0.109,2.9202,3.0917,31.250,29.684,61.328,56.119,-1
19,195,0.840,1.478,0.463,0.418,1.264,0.458,0.421,0.214,0.110,3.1447,3.0938,27.500,29.654,56.250,55.992,-1
19,-1,0.840,1.478,0.463,0.418,1.264,0.458,0.421,0.214,0.110,-1,-1,-1,-1,-1,-1,1.21
20,0,0.840,1.478,0.463,0.418,1.264,0.458,0.421,0.214,0.110,3.2354,3.2354,27.344,27.344,54.297,54.297,-1
20,100,1.499,1.478,0.458,1.325,1.264,0.453,0.174,0.214,0.109,2.8936,3.0397,33.984,30.937,57.812,56.838,-1
20,195,0.683,1.478,0.453,0.522,1.265,0.448,0.161,0.213,0.109,3.5454,3.0441,20.000,30.556,45.000,56.686,-1
20,-1,0.683,1.478,0.453,0.522,1.265,0.448,0.161,0.213,0.109,-1,-1,-1,-1,-1,-1,0.84
21,0,0.683,1.478,0.453,0.522,1.265,0.448,0.161,0.213,0.109,3.3189,3.3189,24.219,24.219,48.047,48.047,-1
21,100,1.445,1.478,0.448,1.299,1.264,0.443,0.146,0.214,0.109,2.9386,2.9994,32.812,31.405,58.203,57.553,-1
21,195,0.922,1.478,0.444,0.495,1.264,0.438,0.427,0.213,0.109,3.2037,2.9845,28.750,31.676,55.000,57.888,-1
21,-1,0.922,1.478,0.444,0.495,1.264,0.438,0.427,0.213,0.109,-1,-1,-1,-1,-1,-1,0.6
22,0,0.922,1.478,0.444,0.495,1.264,0.438,0.427,0.213,0.109,2.9815,2.9815,29.688,29.688,56.250,56.250,-1
22,100,1.814,1.478,0.439,1.354,1.264,0.434,0.461,0.213,0.109,3.2240,2.9335,27.344,32.317,55.469,58.818,-1
22,195,0.891,1.477,0.435,0.462,1.264,0.430,0.429,0.214,0.110,3.3221,2.9412,27.500,32.480,53.750,58.546,-1
22,-1,0.891,1.477,0.435,0.462,1.264,0.430,0.429,0.214,0.110,-1,-1,-1,-1,-1,-1,0.43
23,0,0.891,1.477,0.435,0.462,1.264,0.430,0.429,0.214,0.110,2.9121,2.9121,34.375,34.375,60.547,60.547,-1
23,100,1.343,1.477,0.431,1.270,1.264,0.425,0.072,0.214,0.109,2.7739,2.8835,34.375,33.644,59.375,59.901,-1
23,195,0.699,1.477,0.427,0.502,1.264,0.421,0.197,0.213,0.109,2.5194,2.8838,40.000,33.682,71.250,59.822,-1
23,-1,0.699,1.477,0.427,0.502,1.264,0.421,0.197,0.213,0.109,-1,-1,-1,-1,-1,-1,0.59
24,0,0.699,1.477,0.427,0.502,1.264,0.421,0.197,0.213,0.109,2.8917,2.8917,31.250,31.250,59.375,59.375,-1
24,100,1.421,1.477,0.423,1.260,1.263,0.417,0.160,0.213,0.109,2.9174,2.8419,35.938,34.410,61.328,60.586,-1
24,195,0.704,1.477,0.419,0.524,1.263,0.413,0.180,0.213,0.109,2.7844,2.8439,28.750,34.456,63.750,60.550,-1
24,-1,0.704,1.477,0.419,0.524,1.263,0.413,0.180,0.213,0.109,-1,-1,-1,-1,-1,-1,0.61
25,0,0.704,1.477,0.419,0.524,1.263,0.413,0.180,0.213,0.109,2.6377,2.6377,36.328,36.328,64.844,64.844,-1
25,100,1.452,1.477,0.416,1.297,1.263,0.410,0.155,0.213,0.109,2.6893,2.8050,34.375,34.870,63.281,61.436,-1
25,195,0.694,1.476,0.412,0.523,1.263,0.406,0.172,0.213,0.109,2.4541,2.7959,37.500,35.196,68.750,61.590,-1
25,-1,0.694,1.476,0.412,0.523,1.263,0.406,0.172,0.213,0.109,-1,-1,-1,-1,-1,-1,0.76
26,0,0.694,1.476,0.412,0.523,1.263,0.406,0.172,0.213,0.109,2.7626,2.7626,39.062,39.062,60.938,60.938,-1
26,100,1.445,1.476,0.408,1.266,1.263,0.402,0.179,0.213,0.109,2.5913,2.7400,40.625,36.347,66.016,63.061,-1
26,195,0.689,1.476,0.405,0.506,1.263,0.399,0.183,0.213,0.109,2.7777,2.7519,35.000,36.180,57.500,62.524,-1
26,-1,0.689,1.476,0.405,0.506,1.263,0.399,0.183,0.213,0.109,-1,-1,-1,-1,-1,-1,0.48
27,0,0.689,1.476,0.405,0.506,1.263,0.399,0.183,0.213,0.109,2.5826,2.5826,38.672,38.672,66.016,66.016,-1
27,100,1.381,1.476,0.402,1.267,1.263,0.395,0.113,0.212,0.108,2.6905,2.7072,34.375,36.734,62.109,63.022,-1
27,195,0.665,1.476,0.399,0.484,1.263,0.392,0.181,0.212,0.108,2.2897,2.7115,48.750,36.696,68.750,63.238,-1
27,-1,0.665,1.476,0.399,0.484,1.263,0.392,0.181,0.212,0.108,-1,-1,-1,-1,-1,-1,0.51
28,0,0.665,1.476,0.399,0.484,1.263,0.392,0.181,0.212,0.108,2.7030,2.7030,38.672,38.672,67.578,67.578,-1
28,100,1.543,1.475,0.396,1.314,1.263,0.389,0.229,0.212,0.108,2.7381,2.6425,38.672,38.053,60.547,64.445,-1
28,195,0.736,1.475,0.392,0.551,1.264,0.386,0.185,0.212,0.108,2.9657,2.6499,32.500,38.116,57.500,64.312,-1
28,-1,0.736,1.475,0.392,0.551,1.264,0.386,0.185,0.212,0.108,-1,-1,-1,-1,-1,-1,0.53
29,0,0.736,1.475,0.392,0.551,1.264,0.386,0.185,0.212,0.108,2.5465,2.5465,42.188,42.188,70.703,70.703,-1
29,100,1.507,1.475,0.389,1.311,1.264,0.383,0.195,0.211,0.107,2.5498,2.6161,38.281,38.815,64.844,65.296,-1
29,195,0.715,1.475,0.386,0.514,1.264,0.380,0.201,0.210,0.107,2.9278,2.6233,33.750,38.534,58.750,65.114,-1
