BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.404,1.395,0.087,1.265,1.217,0.095,0.139,0.177,0.103,4.8834,5.6719,5.469,1.632,12.891,6.517,-1
0,195,25.888,1.526,1.798,25.416,1.349,1.777,0.471,0.178,0.107,4.9393,5.2349,5.000,3.202,7.500,11.112,-1
0,-1,25.888,1.526,1.798,25.416,1.349,1.777,0.471,0.178,0.107,-1,-1,-1,-1,-1,-1,0.15
1,0,25.888,1.526,1.798,25.416,1.349,1.777,0.471,0.178,0.107,4.5691,4.5691,7.031,7.031,19.141,19.141,-1
1,100,1.394,1.482,1.474,1.259,1.312,1.456,0.135,0.170,0.100,4.4122,4.4669,8.984,8.099,22.266,23.817,-1
1,195,0.720,1.458,1.273,0.487,1.295,1.257,0.232,0.163,0.092,4.0738,4.3944,7.500,9.028,28.750,25.680,-1
1,-1,0.720,1.458,1.273,0.487,1.295,1.257,0.232,0.163,0.092,-1,-1,-1,-1,-1,-1,0.94
2,0,0.720,1.458,1.273,0.487,1.295,1.257,0.232,0.163,0.092,4.1711,4.1711,12.500,12.500,30.469,30.469,-1
2,100,1.506,1.445,1.142,1.055,1.283,1.128,0.451,0.161,0.091,4.0593,4.1581,13.672,12.102,32.422,31.211,-1
2,195,0.615,1.436,1.041,0.482,1.275,1.028,0.132,0.160,0.089,4.1295,4.1050,6.250,13.106,35.000,32.648,-1
2,-1,0.615,1.436,1.041,0.482,1.275,1.028,0.132,0.160,0.089,-1,-1,-1,-1,-1,-1,0.2
3,0,0.615,1.436,1.041,0.482,1.275,1.028,0.132,0.160,0.089,3.9898,3.9898,12.109,12.109,35.156,35.156,-1
3,100,1.400,1.431,0.966,1.286,1.268,0.954,0.114,0.163,0.091,3.9637,3.9239,13.281,15.296,37.500,37.032,-1
3,195,0.612,1.426,0.903,0.480,1.265,0.892,0.132,0.162,0.090,3.6777,3.8764,15.000,16.184,37.500,38.218,-1
3,-1,0.612,1.426,0.903,0.480,1.265,0.892,0.132,0.162,0.090,-1,-1,-1,-1,-1,-1,0.74
4,0,0.612,1.426,0.903,0.480,1.265,0.892,0.132,0.162,0.090,3.8982,3.8982,17.969,17.969,35.938,35.938,-1
4,100,1.552,1.425,0.853,1.114,1.257,0.842,0.439,0.168,0.096,3.7931,3.7212,17.969,18.982,44.922,41.576,-1
4,195,0.591,1.422,0.809,0.491,1.255,0.799,0.100,0.166,0.094,3.4642,3.6780,17.500,19.672,47.500,42.800,-1
4,-1,0.591,1.422,0.809,0.491,1.255,0.799,0.100,0.166,0.094,-1,-1,-1,-1,-1,-1,0.62
5,0,0.591,1.422,0.809,0.491,1.255,0.799,0.100,0.166,0.094,4.0216,4.0216,16.016,16.016,35.938,35.938,-1
5,100,1.386,1.421,0.773,1.280,1.256,0.762,0.106,0.166,0.092,3.2888,3.5683,25.781,21.098,54.297,45.668,-1
5,195,0.766,1.419,0.739,0.378,1.253,0.730,0.387,0.166,0.092,3.7222,3.5462,21.250,21.576,45.000,46.096,-1
5,-1,0.766,1.419,0.739,0.378,1.253,0.730,0.387,0.166,0.092,-1,-1,-1,-1,-1,-1,0.23
6,0,0.766,1.419,0.739,0.378,1.253,0.730,0.387,0.166,0.092,3.4944,3.4944,24.219,24.219,47.656,47.656,-1
6,100,1.443,1.417,0.711,1.054,1.250,0.703,0.389,0.167,0.093,3.4721,3.4410,21.875,23.693,47.266,48.391,-1
6,195,0.615,1.416,0.685,0.480,1.249,0.677,0.135,0.167,0.092,3.0016,3.4109,33.750,24.180,58.750,49.142,-1
6,-1,0.615,1.416,0.685,0.480,1.249,0.677,0.135,0.167,0.092,-1,-1,-1,-1,-1,-1,0.89
7,0,0.615,1.416,0.685,0.480,1.249,0.677,0.135,0.167,0.092,3.4339,3.4339,19.922,19.922,47.266,47.266,-1
7,100,1.417,1.415,0.663,1.281,1.248,0.655,0.136,0.167,0.092,3.4836,3.3137,22.656,25.561,44.922,50.766,-1
7,195,0.772,1.414,0.642,0.385,1.246,0.635,0.387,0.169,0.094,3.0090,3.3024,26.250,25.950,53.750,51.280,-1
7,-1,0.772,1.414,0.642,0.385,1.246,0.635,0.387,0.169,0.094,-1,-1,-1,-1,-1,-1,0.7
8,0,0.772,1.414,0.642,0.385,1.246,0.635,0.387,0.169,0.094,3.2793,3.2793,20.312,20.312,50.781,50.781,-1
8,100,1.365,1.413,0.623,1.261,1.245,0.616,0.104,0.169,0.094,3.3585,3.2529,23.438,26.849,51.953,52.692,-1
8,195,0.598,1.412,0.606,0.477,1.244,0.599,0.121,0.168,0.093,2.8442,3.2511,33.750,26.888,62.500,52.686,-1
8,-1,0.598,1.412,0.606,0.477,1.244,0.599,0.121,0.168,0.093,-1,-1,-1,-1,-1,-1,0.01
9,0,0.598,1.412,0.606,0.477,1.244,0.599,0.121,0.168,0.093,3.2856,3.2856,24.219,24.219,55.078,55.078,-1
9,100,1.397,1.412,0.590,1.263,1.243,0.584,0.133,0.169,0.094,3.2764,3.1791,26.172,28.175,49.219,53.817,-1
9,195,0.624,1.411,0.576,0.487,1.242,0.569,0.137,0.169,0.095,3.6730,3.1701,15.000,28.426,47.500,54.100,-1
9,-1,0.624,1.411,0.576,0.487,1.242,0.569,0.137,0.169,0.095,-1,-1,-1,-1,-1,-1,0.23
10,0,0.624,1.411,0.576,0.487,1.242,0.569,0.137,0.169,0.095,3.2401,3.2401,27.344,27.344,54.297,54.297,-1
10,100,1.446,1.411,0.563,1.258,1.241,0.556,0.188,0.169,0.095,3.2523,3.1232,29.297,29.394,51.172,55.391,-1
10,195,0.653,1.410,0.550,0.477,1.240,0.544,0.176,0.170,0.095,3.3614,3.1255,26.250,29.488,42.500,55.262,-1
10,-1,0.653,1.410,0.550,0.477,1.240,0.544,0.176,0.170,0.095,-1,-1,-1,-1,-1,-1,1.67
11,0,0.653,1.410,0.550,0.477,1.240,0.544,0.176,0.170,0.095,3.2455,3.2455,27.734,27.734,52.734,52.734,-1
11,100,1.380,1.411,0.538,1.270,1.240,0.532,0.110,0.171,0.096,3.1744,3.0488,31.250,30.685,52.344,56.621,-1
11,195,0.613,1.410,0.527,0.476,1.240,0.521,0.137,0.170,0.095,3.0172,3.0629,30.000,30.378,57.500,56.334,-1
11,-1,0.613,1.410,0.527,0.476,1.240,0.521,0.137,0.170,0.095,-1,-1,-1,-1,-1,-1,0.4
12,0,0.613,1.410,0.527,0.476,1.240,0.521,0.137,0.170,0.095,3.0576,3.0576,29.297,29.297,57.031,57.031,-1
12,100,1.161,1.409,0.517,1.036,1.240,0.511,0.124,0.169,0.094,2.8888,3.0247,35.156,31.138,62.109,57.047,-1
12,195,0.611,1.409,0.507,0.478,1.238,0.502,0.132,0.170,0.095,3.1946,3.0171,32.500,31.382,56.250,57.224,-1
12,-1,0.611,1.409,0.507,0.478,1.238,0.502,0.132,0.170,0.095,-1,-1,-1,-1,-1,-1,0.33
13,0,0.611,1.409,0.507,0.478,1.238,0.502,0.132,0.170,0.095,3.1596,3.1596,29.688,29.688,53.906,53.906,-1
13,100,1.391,1.408,0.498,1.279,1.237,0.493,0.112,0.171,0.096,3.0527,2.9590,33.984,32.279,59.766,58.451,-1
13,195,0.789,1.408,0.490,0.405,1.237,0.484,0.384,0.171,0.096,2.8499,2.9702,33.750,32.238,57.500,58.200,-1
13,-1,0.789,1.408,0.490,0.405,1.237,0.484,0.384,0.171,0.096,-1,-1,-1,-1,-1,-1,0.33
14,0,0.789,1.408,0.490,0.405,1.237,0.484,0.384,0.171,0.096,2.8046,2.8046,33.984,33.984,61.719,61.719,-1
14,100,1.389,1.407,0.482,1.260,1.236,0.476,0.130,0.171,0.097,3.1284,2.9238,27.344,33.385,53.906,59.336,-1
14,195,0.584,1.407,0.474,0.477,1.237,0.468,0.106,0.170,0.095,2.9625,2.9536,32.500,32.838,60.000,58.722,-1
14,-1,0.584,1.407,0.474,0.477,1.237,0.468,0.106,0.170,0.095,-1,-1,-1,-1,-1,-1,0.5
15,0,0.584,1.407,0.474,0.477,1.237,0.468,0.106,0.170,0.095,2.9546,2.9546,31.250,31.250,57.812,57.812,-1
15,100,1.448,1.406,0.466,1.064,1.235,0.461,0.384,0.171,0.096,2.9787,2.9039,28.906,33.776,62.891,59.893,-1
15,195,0.588,1.406,0.459,0.475,1.235,0.454,0.113,0.171,0.096,2.9492,2.9110,36.250,33.530,58.750,59.530,-1
15,-1,0.588,1.406,0.459,0.475,1.235,0.454,0.113,0.171,0.096,-1,-1,-1,-1,-1,-1,0.4
16,0,0.588,1.406,0.459,0.475,1.235,0.454,0.113,0.171,0.096,2.9404,2.9404,32.031,32.031,55.078,55.078,-1
16,100,1.451,1.406,0.453,1.064,1.235,0.448,0.387,0.171,0.096,3.1217,2.8955,29.297,33.772,56.250,59.781,-1
16,195,0.614,1.406,0.446,0.477,1.235,0.441,0.136,0.171,0.096,2.6866,2.8769,32.500,34.034,72.500,60.120,-1
16,-1,0.614,1.406,0.446,0.477,1.235,0.441,0.136,0.171,0.096,-1,-1,-1,-1,-1,-1,0.43
17,0,0.614,1.406,0.446,0.477,1.235,0.441,0.136,0.171,0.096,2.9085,2.9085,31.641,31.641,57.031,57.031,-1
17,100,1.375,1.405,0.440,1.252,1.235,0.435,0.123,0.171,0.095,2.9562,2.8504,30.859,34.483,57.422,60.350,-1
17,195,0.637,1.405,0.434,0.472,1.234,0.430,0.165,0.171,0.096,3.0819,2.8516,38.750,34.362,55.000,60.570,-1
17,-1,0.637,1.405,0.434,0.472,1.234,0.430,0.165,0.171,0.096,-1,-1,-1,-1,-1,-1,0.34
18,0,0.637,1.405,0.434,0.472,1.234,0.430,0.165,0.171,0.096,3.0284,3.0284,30.469,30.469,57.031,57.031,-1
18,100,1.444,1.405,0.429,1.277,1.233,0.424,0.167,0.172,0.097,2.6006,2.8214,37.891,34.982,66.016,61.266,-1
18,195,0.881,1.405,0.423,0.403,1.231,0.419,0.478,0.173,0.098,3.1497,2.8203,37.500,35.120,55.000,61.312,-1
18,-1,0.881,1.405,0.423,0.403,1.231,0.419,0.478,0.173,0.098,-1,-1,-1,-1,-1,-1,0.58
19,0,0.881,1.405,0.423,0.403,1.231,0.419,0.478,0.173,0.098,2.8766,2.8766,30.859,30.859,60.938,60.938,-1
19,100,1.375,1.405,0.418,1.269,1.230,0.414,0.105,0.174,0.099,2.6392,2.7827,37.109,35.775,60.938,61.935,-1
19,195,0.588,1.405,0.413,0.476,1.228,0.410,0.112,0.176,0.101,2.8245,2.7997,42.500,35.362,57.500,61.836,-1
19,-1,0.588,1.405,0.413,0.476,1.228,0.410,0.112,0.176,0.101,-1,-1,-1,-1,-1,-1,0.68
20,0,0.588,1.405,0.413,0.476,1.228,0.410,0.112,0.176,0.101,2.9340,2.9340,33.984,33.984,61.328,61.328,-1
20,100,1.389,1.405,0.408,1.253,1.227,0.405,0.137,0.178,0.102,2.7214,2.7681,33.203,35.996,63.281,62.415,-1
20,195,0.613,1.404,0.403,0.477,1.227,0.401,0.136,0.177,0.101,3.1828,2.7877,26.250,35.840,53.750,61.992,-1
20,-1,0.613,1.404,0.403,0.477,1.227,0.401,0.136,0.177,0.101,-1,-1,-1,-1,-1,-1,1.07
21,0,0.613,1.404,0.403,0.477,1.227,0.401,0.136,0.177,0.101,2.9093,2.9093,35.938,35.938,61.328,61.328,-1
21,100,1.242,1.404,0.399,1.108,1.227,0.396,0.134,0.177,0.101,2.6488,2.7610,37.891,36.371,62.500,62.720,-1
21,195,0.597,1.404,0.395,0.483,1.227,0.392,0.114,0.177,0.101,3.0438,2.7622,35.000,36.380,50.000,62.648,-1
21,-1,0.597,1.404,0.395,0.483,1.227,0.392,0.114,0.177,0.101,-1,-1,-1,-1,-1,-1,0.56
22,0,0.597,1.404,0.395,0.483,1.227,0.392,0.114,0.177,0.101,2.7830,2.7830,37.891,37.891,59.375,59.375,-1
22,100,1.328,1.404,0.391,1.248,1.226,0.388,0.080,0.177,0.102,2.9997,2.7300,31.641,36.723,55.469,63.041,-1
22,195,0.607,1.403,0.387,0.476,1.226,0.384,0.131,0.177,0.101,2.9388,2.7530,32.500,36.444,63.750,62.490,-1
22,-1,0.607,1.403,0.387,0.476,1.226,0.384,0.131,0.177,0.101,-1,-1,-1,-1,-1,-1,0.27
23,0,0.607,1.403,0.387,0.476,1.226,0.384,0.131,0.177,0.101,2.8559,2.8559,35.156,35.156,60.156,60.156,-1
23,100,1.389,1.403,0.383,1.251,1.226,0.380,0.138,0.177,0.102,2.6657,2.7288,36.328,36.839,66.406,63.018,-1
23,195,0.636,1.403,0.379,0.474,1.226,0.376,0.162,0.177,0.101,2.4452,2.7366,40.000,36.982,71.250,62.926,-1
23,-1,0.636,1.403,0.379,0.474,1.226,0.376,0.162,0.177,0.101,-1,-1,-1,-1,-1,-1,0.43
24,0,0.636,1.403,0.379,0.474,1.226,0.376,0.162,0.177,0.101,2.7449,2.7449,35.938,35.938,61.328,61.328,-1
24,100,1.407,1.403,0.375,1.281,1.227,0.373,0.126,0.176,0.101,2.7590,2.7191,35.547,37.047,63.281,63.223,-1
24,195,0.585,1.403,0.372,0.472,1.226,0.369,0.113,0.176,0.101,2.6135,2.7318,40.000,36.970,63.750,62.900,-1
24,-1,0.585,1.403,0.372,0.472,1.226,0.369,0.113,0.176,0.101,-1,-1,-1,-1,-1,-1,0.37
25,0,0.585,1.403,0.372,0.472,1.226,0.369,0.113,0.176,0.101,2.5868,2.5868,40.234,40.234,65.234,65.234,-1
25,100,1.455,1.403,0.369,1.070,1.226,0.366,0.385,0.176,0.101,2.6514,2.7082,36.719,37.635,62.500,63.347,-1
25,195,0.602,1.402,0.365,0.474,1.226,0.363,0.128,0.176,0.100,2.5180,2.7117,42.500,37.504,71.250,63.314,-1
25,-1,0.602,1.402,0.365,0.474,1.226,0.363,0.128,0.176,0.100,-1,-1,-1,-1,-1,-1,1.72
26,0,0.602,1.402,0.365,0.474,1.226,0.363,0.128,0.176,0.100,2.8139,2.8139,35.547,35.547,58.594,58.594,-1
26,100,1.374,1.402,0.362,1.251,1.226,0.360,0.124,0.177,0.101,2.5684,2.6782,39.844,38.014,64.453,64.032,-1
26,195,0.597,1.402,0.359,0.479,1.226,0.356,0.117,0.176,0.101,2.7161,2.6979,35.000,37.464,66.250,63.706,-1
26,-1,0.597,1.402,0.359,0.479,1.226,0.356,0.117,0.176,0.101,-1,-1,-1,-1,-1,-1,0.31
27,0,0.597,1.402,0.359,0.479,1.226,0.356,0.117,0.176,0.101,2.7611,2.7611,34.375,34.375,64.062,64.062,-1
27,100,1.372,1.402,0.356,1.251,1.226,0.353,0.121,0.176,0.100,2.6924,2.6723,33.594,38.011,61.719,64.271,-1
27,195,0.608,1.402,0.353,0.475,1.226,0.350,0.133,0.175,0.100,2.2829,2.6819,45.000,37.726,70.000,63.970,-1
27,-1,0.608,1.402,0.353,0.475,1.226,0.350,0.133,0.175,0.100,-1,-1,-1,-1,-1,-1,0.19
28,0,0.608,1.402,0.353,0.475,1.226,0.350,0.133,0.175,0.100,2.8236,2.8236,35.156,35.156,59.766,59.766,-1
28,100,1.380,1.401,0.350,1.251,1.226,0.348,0.129,0.175,0.100,2.8209,2.6500,38.281,38.722,62.500,64.206,-1
28,195,0.707,1.401,0.347,0.473,1.226,0.345,0.234,0.175,0.100,2.8887,2.6590,33.750,38.448,58.750,64.306,-1
28,-1,0.707,1.401,0.347,0.473,1.226,0.345,0.234,0.175,0.100,-1,-1,-1,-1,-1,-1,0.26
29,0,0.707,1.401,0.347,0.473,1.226,0.345,0.234,0.175,0.100,2.6830,2.6830,37.500,37.500,64.453,64.453,-1
29,100,1.411,1.401,0.344,1.027,1.226,0.342,0.384,0.175,0.100,2.5458,2.6531,43.750,38.370,64.062,64.561,-1
29,195,0.608,1.401,0.342,0.475,1.226,0.339,0.133,0.175,0.100,2.8908,2.6710,33.750,37.968,61.250,64.176,-1
29,-1,0.608,1.401,0.342,0.475,1.226,0.339,0.133,0.175,0.100,-1,-1,-1,-1,-1,-1,0.28
30,0,0.608,1.401,0.342,0.475,1.226,0.339,0.133,0.175,0.100,2.9820,2.9820,31.641,31.641,55.859,55.859,-1
30,100,1.375,1.401,0.339,1.251,1.226,0.337,0.124,0.174,0.099,2.3322,2.2760,41.406,46.001,69.141,71.303,-1
30,195,0.607,1.400,0.336,0.481,1.226,0.334,0.126,0.174,0.099,2.3615,2.2018,43.750,47.598,70.000,72.494,-1
30,-1,0.607,1.400,0.336,0.481,1.226,0.334,0.126,0.174,0.099,-1,-1,-1,-1,-1,-1,0.6
31,0,0.607,1.400,0.336,0.481,1.226,0.334,0.126,0.174,0.099,1.9745,1.9745,52.734,52.734,76.953,76.953,-1
31,100,1.384,1.400,0.334,1.255,1.226,0.332,0.130,0.174,0.099,2.2435,2.0157,45.312,51.663,72.656,75.526,-1
31,195,0.610,1.400,0.331,0.475,1.227,0.329,0.135,0.173,0.098,2.1459,2.0111,53.750,51.784,77.500,75.578,-1
31,-1,0.610,1.400,0.331,0.475,1.227,0.329,0.135,0.173,0.098,-1,-1,-1,-1,-1,-1,0.53
