BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,2.880,2.922,0.248,2.704,2.576,0.226,0.176,0.346,0.225,4.6599,5.0523,4.297,3.605,19.922,12.751,-1
0,195,29.126,3.056,1.935,28.827,2.725,1.935,0.299,0.330,0.212,5.0175,4.8871,3.750,4.982,11.250,15.524,-1
0,-1,29.126,3.056,1.935,28.827,2.725,1.935,0.299,0.330,0.212,-1,-1,-1,-1,-1,-1,0.21
1,0,29.126,3.056,1.935,28.827,2.725,1.935,0.299,0.330,0.212,4.6140,4.6140,8.984,8.984,19.531,19.531,-1
1,100,2.788,3.007,1.593,2.619,2.688,1.589,0.169,0.320,0.200,4.5359,4.5791,6.641,7.809,21.094,21.941,-1
1,195,1.361,2.980,1.379,1.086,2.674,1.374,0.275,0.306,0.184,4.3602,4.5474,7.500,8.148,25.000,22.664,-1
1,-1,1.361,2.980,1.379,1.086,2.674,1.374,0.275,0.306,0.184,-1,-1,-1,-1,-1,-1,0.43
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.391,1.550,0.619,1.303,1.252,0.100,0.088,0.298,0.615,4.6630,5.0526,4.688,3.620,20.703,12.778,-1
0,195,30.140,1.865,2.376,30.051,1.418,2.113,0.089,0.447,1.127,4.9939,4.8889,3.750,4.926,10.000,15.512,-1
0,-1,30.140,1.865,2.376,30.051,1.418,2.113,0.089,0.447,1.127,-1,-1,-1,-1,-1,-1,0.29
1,0,30.140,1.865,2.376,30.051,1.418,2.113,0.089,0.447,1.127,4.6275,4.6275,7.812,7.812,19.531,19.531,-1
1,100,1.401,1.715,1.958,1.311,1.369,1.732,0.089,0.346,0.936,4.5437,4.5903,6.641,7.712,19.141,21.701,-1
1,195,0.594,1.633,1.696,0.484,1.346,1.495,0.110,0.287,0.814,4.3576,4.5583,10.000,8.080,26.250,22.444,-1
