BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.405,1.413,0.088,1.276,1.238,0.107,0.130,0.176,0.118,4.9204,5.3980,3.516,3.086,16.406,10.272,-1
0,195,26.876,1.561,1.867,26.729,1.400,1.869,0.147,0.161,0.086,4.6818,5.1317,3.750,4.064,17.500,13.070,-1
0,-1,26.876,1.561,1.867,26.729,1.400,1.869,0.147,0.161,0.086,-1,-1,-1,-1,-1,-1,0.15
1,0,26.876,1.561,1.867,26.729,1.400,1.869,0.147,0.161,0.086,4.7739,4.7739,5.078,5.078,16.797,16.797,-1
1,100,1.681,1.516,1.532,1.274,1.354,1.532,0.407,0.163,0.084,4.7722,4.7542,5.859,5.917,17.578,17.911,-1
1,195,0.616,1.492,1.323,0.479,1.329,1.323,0.137,0.162,0.079,5.0475,4.7283,2.500,6.144,12.500,18.404,-1
1,-1,0.616,1.492,1.323,0.479,1.329,1.323,0.137,0.162,0.079,-1,-1,-1,-1,-1,-1,0.35
2,0,0.616,1.492,1.323,0.479,1.329,1.323,0.137,0.162,0.079,4.7100,4.7100,5.469,5.469,16.406,16.406,-1
2,100,1.433,1.477,1.187,1.301,1.319,1.186,0.133,0.159,0.076,4.6686,4.6473,7.422,6.726,19.922,20.243,-1
2,195,0.627,1.467,1.082,0.483,1.310,1.081,0.144,0.156,0.072,4.5820,4.6333,7.500,7.136,22.500,20.530,-1
2,-1,0.627,1.467,1.082,0.483,1.310,1.081,0.144,0.156,0.072,-1,-1,-1,-1,-1,-1,0.1
3,0,0.627,1.467,1.082,0.483,1.310,1.081,0.144,0.156,0.072,4.5770,4.5770,10.547,10.547,22.656,22.656,-1
3,100,1.404,1.460,1.004,1.296,1.303,1.003,0.107,0.157,0.075,4.5593,4.5606,7.422,8.420,24.219,22.683,-1
