BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.491,1.483,0.009,1.473,1.465,0.009,0.018,0.018,0.000,4.6826,5.0690,5.859,3.581,19.531,12.388,-1
0,195,25.663,1.615,1.773,25.644,1.597,1.773,0.019,0.018,0.000,5.0490,4.9035,2.500,4.908,10.000,15.210,-1
0,-1,25.663,1.615,1.773,25.644,1.597,1.773,0.019,0.018,0.000,-1,-1,-1,-1,-1,-1,0.46
1,0,25.663,1.615,1.773,25.644,1.597,1.773,0.019,0.018,0.000,4.6357,4.6357,8.594,8.594,19.531,19.531,-1
1,100,1.487,1.573,1.453,1.468,1.555,1.453,0.018,0.018,0.000,4.5841,4.6123,6.250,7.464,18.359,20.908,-1
1,195,0.615,1.549,1.255,0.596,1.531,1.255,0.018,0.018,0.000,4.3992,4.5847,7.500,7.804,27.500,21.676,-1
1,-1,0.615,1.549,1.255,0.596,1.531,1.255,0.018,0.018,0.000,-1,-1,-1,-1,-1,-1,0.28
2,0,0.615,1.549,1.255,0.596,1.531,1.255,0.018,0.018,0.000,4.3712,4.3712,10.547,10.547,26.562,26.562,-1
2,100,1.478,1.538,1.125,1.460,1.520,1.125,0.018,0.018,0.000,4.4406,4.4546,9.766,8.872,25.781,24.853,-1
2,195,0.621,1.527,1.025,0.604,1.509,1.025,0.017,0.018,0.000,4.3587,4.4221,8.750,9.588,27.500,25.668,-1
2,-1,0.621,1.527,1.025,0.604,1.509,1.025,0.017,0.018,0.000,-1,-1,-1,-1,-1,-1,0.06
3,0,0.621,1.527,1.025,0.604,1.509,1.025,0.017,0.018,0.000,4.3229,4.3229,10.938,10.938,26.172,26.172,-1
3,100,1.491,1.521,0.951,1.473,1.503,0.951,0.018,0.018,0.000,4.4096,4.3175,10.156,10.771,27.734,28.013,-1
3,195,0.610,1.516,0.888,0.591,1.498,0.888,0.018,0.018,0.000,4.1860,4.2941,10.000,10.940,27.500,28.578,-1
3,-1,0.610,1.516,0.888,0.591,1.498,0.888,0.018,0.018,0.000,-1,-1,-1,-1,-1,-1,2.02
4,0,0.610,1.516,0.888,0.591,1.498,0.888,0.018,0.018,0.000,4.3365,4.3365,9.375,9.375,29.297,29.297,-1
4,100,1.474,1.513,0.839,1.456,1.494,0.839,0.018,0.018,0.001,4.2437,4.2034,8.984,12.388,28.906,30.569,-1
4,195,0.621,1.509,0.795,0.602,1.491,0.795,0.018,0.018,0.001,4.1708,4.1658,10.000,12.692,30.000,31.478,-1
4,-1,0.621,1.509,0.795,0.602,1.491,0.795,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,1.05
5,0,0.621,1.509,0.795,0.602,1.491,0.795,0.018,0.018,0.001,4.3118,4.3118,8.984,8.984,28.125,28.125,-1
5,100,1.494,1.507,0.759,1.476,1.489,0.759,0.018,0.018,0.001,3.7539,4.0807,17.188,13.730,44.531,33.571,-1
5,195,0.618,1.505,0.726,0.600,1.487,0.726,0.018,0.018,0.001,4.1407,4.0531,16.250,14.270,36.250,34.264,-1
5,-1,0.618,1.505,0.726,0.600,1.487,0.726,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.76
6,0,0.618,1.505,0.726,0.600,1.487,0.726,0.018,0.018,0.001,3.9484,3.9484,15.625,15.625,34.375,34.375,-1
6,100,1.492,1.503,0.698,1.469,1.485,0.698,0.023,0.018,0.001,3.8064,3.9478,14.844,15.722,41.016,36.765,-1
6,195,0.632,1.502,0.673,0.614,1.483,0.673,0.018,0.018,0.001,3.4866,3.9080,20.000,16.258,52.500,37.710,-1
6,-1,0.632,1.502,0.673,0.614,1.483,0.673,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,1.22
7,0,0.632,1.502,0.673,0.614,1.483,0.673,0.018,0.018,0.001,3.7927,3.7927,16.406,16.406,42.188,42.188,-1
7,100,1.487,1.501,0.651,1.470,1.483,0.651,0.017,0.018,0.001,3.9077,3.7954,19.922,17.628,39.453,40.494,-1
7,195,0.625,1.499,0.630,0.606,1.481,0.630,0.018,0.018,0.001,3.4247,3.7714,28.750,18.084,48.750,40.808,-1
7,-1,0.625,1.499,0.630,0.606,1.481,0.630,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.28
8,0,0.625,1.499,0.630,0.606,1.481,0.630,0.018,0.018,0.001,3.6888,3.6888,19.922,19.922,43.359,43.359,-1
8,100,1.488,1.499,0.612,1.470,1.481,0.612,0.018,0.018,0.001,3.7316,3.6984,19.531,19.686,42.969,42.617,-1
8,195,0.628,1.498,0.594,0.610,1.479,0.594,0.018,0.018,0.001,3.4613,3.6790,20.000,19.734,51.250,43.054,-1
8,-1,0.628,1.498,0.594,0.610,1.479,0.594,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.3
9,0,0.628,1.498,0.594,0.610,1.479,0.594,0.018,0.018,0.001,3.5909,3.5909,22.266,22.266,45.312,45.312,-1
9,100,1.498,1.497,0.579,1.479,1.479,0.579,0.019,0.018,0.001,3.7709,3.5827,19.531,20.958,40.625,45.251,-1
9,195,0.631,1.496,0.564,0.613,1.478,0.564,0.018,0.018,0.001,3.8875,3.5570,10.000,21.624,37.500,45.614,-1
9,-1,0.631,1.496,0.564,0.613,1.478,0.564,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.22
10,0,0.631,1.496,0.564,0.613,1.478,0.564,0.018,0.018,0.001,3.5301,3.5301,23.438,23.438,48.828,48.828,-1
10,100,1.485,1.496,0.551,1.467,1.478,0.551,0.017,0.018,0.001,3.4724,3.4806,21.484,22.923,44.141,47.579,-1
10,195,0.619,1.495,0.538,0.601,1.477,0.538,0.018,0.018,0.001,3.7405,3.4647,23.750,23.316,40.000,47.770,-1
10,-1,0.619,1.495,0.538,0.601,1.477,0.538,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.5
11,0,0.619,1.495,0.538,0.601,1.477,0.538,0.018,0.018,0.001,3.4822,3.4822,19.922,19.922,49.219,49.219,-1
11,100,1.492,1.495,0.527,1.474,1.477,0.527,0.018,0.018,0.001,3.4758,3.3654,26.172,24.845,46.875,50.147,-1
11,195,0.627,1.494,0.516,0.609,1.476,0.516,0.018,0.018,0.001,3.3782,3.3679,20.000,24.666,51.250,49.934,-1
11,-1,0.627,1.494,0.516,0.609,1.476,0.516,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.44
12,0,0.627,1.494,0.516,0.609,1.476,0.516,0.018,0.018,0.001,3.2722,3.2722,23.438,23.438,52.734,52.734,-1
12,100,1.468,1.494,0.506,1.450,1.475,0.506,0.018,0.018,0.001,3.1385,3.2961,30.859,25.750,54.297,51.253,-1
12,195,0.629,1.493,0.496,0.610,1.475,0.496,0.018,0.018,0.001,3.3922,3.2794,21.250,26.352,53.750,51.842,-1
12,-1,0.629,1.493,0.496,0.610,1.475,0.496,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.63
13,0,0.629,1.493,0.496,0.610,1.475,0.496,0.018,0.018,0.001,3.3649,3.3649,24.609,24.609,48.047,48.047,-1
13,100,1.478,1.493,0.487,1.462,1.475,0.487,0.016,0.018,0.001,3.3061,3.1956,25.781,27.622,51.953,53.434,-1
13,195,0.624,1.492,0.478,0.606,1.474,0.478,0.019,0.018,0.001,3.0654,3.1949,30.000,27.726,56.250,53.484,-1
13,-1,0.624,1.492,0.478,0.606,1.474,0.478,0.019,0.018,0.001,-1,-1,-1,-1,-1,-1,1.17
14,0,0.624,1.492,0.478,0.606,1.474,0.478,0.019,0.018,0.001,3.0144,3.0144,30.078,30.078,57.422,57.422,-1
14,100,1.496,1.492,0.470,1.479,1.474,0.470,0.017,0.018,0.001,3.3451,3.1184,25.781,29.312,49.609,55.047,-1
14,195,0.638,1.491,0.462,0.620,1.473,0.462,0.018,0.018,0.001,3.0904,3.1293,31.250,29.078,55.000,54.814,-1
14,-1,0.638,1.491,0.462,0.620,1.473,0.462,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.57
15,0,0.638,1.491,0.462,0.620,1.473,0.462,0.018,0.018,0.001,3.1136,3.1136,28.906,28.906,55.859,55.859,-1
15,100,1.482,1.491,0.455,1.464,1.473,0.455,0.018,0.018,0.001,3.0713,3.0571,29.688,30.500,60.156,56.730,-1
15,195,0.615,1.491,0.448,0.598,1.473,0.448,0.018,0.018,0.001,3.1540,3.0477,31.250,30.730,56.250,56.668,-1
15,-1,0.615,1.491,0.448,0.598,1.473,0.448,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.33
16,0,0.615,1.491,0.448,0.598,1.473,0.448,0.018,0.018,0.001,2.9586,2.9586,33.203,33.203,56.250,56.250,-1
16,100,1.490,1.491,0.441,1.472,1.473,0.441,0.018,0.018,0.001,3.1254,2.9995,30.078,31.571,54.688,57.530,-1
16,195,0.623,1.490,0.435,0.605,1.472,0.435,0.018,0.018,0.001,2.9117,2.9742,31.250,32.106,62.500,57.986,-1
16,-1,0.623,1.490,0.435,0.605,1.472,0.435,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,1.68
17,0,0.623,1.490,0.435,0.605,1.472,0.435,0.018,0.018,0.001,2.8695,2.8695,32.422,32.422,61.719,61.719,-1
17,100,1.491,1.490,0.429,1.473,1.472,0.429,0.018,0.018,0.001,3.1530,2.9243,30.859,32.619,52.344,59.108,-1
17,195,0.625,1.490,0.423,0.607,1.472,0.423,0.018,0.018,0.001,2.9845,2.9121,37.500,32.710,57.500,59.440,-1
17,-1,0.625,1.490,0.423,0.607,1.472,0.423,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.47
18,0,0.625,1.490,0.423,0.607,1.472,0.423,0.018,0.018,0.001,3.0241,3.0241,28.906,28.906,58.203,58.203,-1
18,100,1.489,1.490,0.417,1.471,1.472,0.417,0.018,0.018,0.001,2.5936,2.8558,37.891,34.081,63.672,60.415,-1
18,195,0.626,1.490,0.412,0.608,1.472,0.412,0.018,0.018,0.001,3.0080,2.8459,37.500,34.556,55.000,60.592,-1
18,-1,0.626,1.490,0.412,0.608,1.472,0.412,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.43
19,0,0.626,1.490,0.412,0.608,1.472,0.412,0.018,0.018,0.001,2.8442,2.8442,33.984,33.984,64.844,64.844,-1
19,100,1.470,1.490,0.407,1.452,1.472,0.407,0.018,0.018,0.001,2.5813,2.7817,37.109,35.644,66.797,62.318,-1
19,195,0.626,1.489,0.402,0.608,1.471,0.402,0.018,0.018,0.001,2.6883,2.7906,35.000,35.442,60.000,61.952,-1
19,-1,0.626,1.489,0.402,0.608,1.471,0.402,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.58
20,0,0.626,1.489,0.402,0.608,1.471,0.402,0.018,0.018,0.001,2.8786,2.8786,35.156,35.156,60.938,60.938,-1
20,100,1.492,1.489,0.397,1.474,1.471,0.397,0.018,0.018,0.001,2.6349,2.7338,37.500,36.680,60.938,63.003,-1
20,195,0.628,1.489,0.392,0.610,1.471,0.392,0.018,0.018,0.001,3.2606,2.7419,25.000,36.312,53.750,62.826,-1
20,-1,0.628,1.489,0.392,0.610,1.471,0.392,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.71
21,0,0.628,1.489,0.392,0.610,1.471,0.392,0.018,0.018,0.001,2.9132,2.9132,32.422,32.422,61.719,61.719,-1
21,100,1.486,1.489,0.388,1.468,1.471,0.388,0.018,0.018,0.001,2.5235,2.6940,40.625,37.283,66.797,63.614,-1
21,195,0.617,1.489,0.384,0.599,1.471,0.384,0.018,0.018,0.001,2.7793,2.6849,41.250,37.440,62.500,63.700,-1
21,-1,0.617,1.489,0.384,0.599,1.471,0.384,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.62
22,0,0.617,1.489,0.384,0.599,1.471,0.384,0.018,0.018,0.001,2.5970,2.5970,39.062,39.062,65.625,65.625,-1
22,100,1.494,1.489,0.379,1.476,1.471,0.379,0.018,0.018,0.001,2.9164,2.6244,33.594,38.637,59.766,65.002,-1
22,195,0.623,1.488,0.375,0.605,1.470,0.375,0.018,0.018,0.001,2.9764,2.6388,36.250,38.468,62.500,64.534,-1
22,-1,0.623,1.488,0.375,0.605,1.470,0.375,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.64
23,0,0.623,1.488,0.375,0.605,1.470,0.375,0.018,0.018,0.001,2.6704,2.6704,40.625,40.625,63.672,63.672,-1
23,100,1.488,1.488,0.371,1.471,1.470,0.371,0.018,0.018,0.001,2.5247,2.6005,39.062,38.958,65.234,65.459,-1
23,195,0.619,1.488,0.368,0.601,1.470,0.368,0.018,0.018,0.001,2.3188,2.5981,48.750,38.878,70.000,65.454,-1
23,-1,0.619,1.488,0.368,0.601,1.470,0.368,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.63
24,0,0.619,1.488,0.368,0.601,1.470,0.368,0.018,0.018,0.001,2.6432,2.6432,36.719,36.719,65.234,65.234,-1
24,100,1.488,1.488,0.364,1.470,1.470,0.364,0.018,0.018,0.001,2.6016,2.5463,40.625,40.246,67.578,66.418,-1
24,195,0.622,1.488,0.360,0.604,1.470,0.360,0.018,0.018,0.001,2.3983,2.5548,42.500,40.160,72.500,66.078,-1
24,-1,0.622,1.488,0.360,0.604,1.470,0.360,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.63
25,0,0.622,1.488,0.360,0.604,1.470,0.360,0.018,0.018,0.001,2.3366,2.3366,42.188,42.188,71.094,71.094,-1
25,100,1.484,1.488,0.357,1.465,1.470,0.357,0.018,0.018,0.001,2.3631,2.5125,41.797,40.818,70.703,66.766,-1
25,195,0.626,1.488,0.354,0.608,1.469,0.354,0.018,0.018,0.001,2.2133,2.5080,41.250,40.956,77.500,66.942,-1
25,-1,0.626,1.488,0.354,0.608,1.469,0.354,0.018,0.018,0.001,-1,-1,-1,-1,-1,-1,0.44
