BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.659,1.553,0.047,1.653,1.544,0.046,0.006,0.008,0.005,4.6376,5.0395,5.469,3.728,20.312,12.875,-1
0,195,25.965,1.690,1.790,25.961,1.682,1.790,0.004,0.008,0.004,5.0140,4.8820,1.250,4.976,11.250,15.578,-1
0,-1,25.965,1.690,1.790,25.961,1.682,1.790,0.004,0.008,0.004,-1,-1,-1,-1,-1,-1,0.22
1,0,25.965,1.690,1.790,25.961,1.682,1.790,0.004,0.008,0.004,4.6049,4.6049,7.812,7.812,19.141,19.141,-1
1,100,1.521,1.644,1.467,1.510,1.635,1.468,0.011,0.008,0.004,4.5447,4.5741,7.031,7.816,20.703,21.898,-1
1,195,0.665,1.619,1.267,0.661,1.611,1.268,0.004,0.008,0.005,4.3458,4.5423,8.750,8.270,25.000,22.720,-1
1,-1,0.665,1.619,1.267,0.661,1.611,1.268,0.004,0.008,0.005,-1,-1,-1,-1,-1,-1,0.2
2,0,0.665,1.619,1.267,0.661,1.611,1.268,0.004,0.008,0.005,4.3239,4.3239,12.109,12.109,26.562,26.562,-1
2,100,1.549,1.607,1.136,1.543,1.599,1.136,0.006,0.008,0.005,4.3768,4.3961,12.109,9.541,27.734,26.288,-1
2,195,0.889,1.597,1.036,0.885,1.589,1.036,0.004,0.008,0.005,4.2631,4.3624,8.750,10.158,33.750,27.208,-1
2,-1,0.889,1.597,1.036,0.885,1.589,1.036,0.004,0.008,0.005,-1,-1,-1,-1,-1,-1,0.13
