BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.405,1.394,0.084,1.277,1.232,0.065,0.127,0.162,0.069,4.6886,5.1387,6.641,3.933,21.094,13.038,-1
0,195,24.775,1.519,1.716,24.653,1.363,1.718,0.122,0.155,0.062,4.3471,4.8880,8.750,5.552,23.750,16.748,-1
0,-1,24.775,1.519,1.716,24.653,1.363,1.718,0.122,0.155,0.062,-1,-1,-1,-1,-1,-1,0.49
1,0,24.775,1.519,1.716,24.653,1.363,1.718,0.122,0.155,0.062,4.5358,4.5358,7.031,7.031,24.609,24.609,-1
1,100,1.397,1.477,1.408,1.244,1.319,1.409,0.154,0.158,0.069,4.4897,4.4033,8.594,9.197,24.609,25.638,-1
1,195,0.606,1.454,1.216,0.486,1.299,1.216,0.119,0.155,0.063,4.6633,4.3185,7.500,10.316,21.250,27.744,-1
1,-1,0.606,1.454,1.216,0.486,1.299,1.216,0.119,0.155,0.063,-1,-1,-1,-1,-1,-1,0.32
2,0,0.606,1.454,1.216,0.486,1.299,1.216,0.119,0.155,0.063,4.1641,4.1641,12.109,12.109,28.125,28.125,-1
2,100,1.373,1.442,1.090,1.231,1.289,1.090,0.142,0.152,0.058,4.0115,4.0195,14.844,14.252,37.500,34.414,-1
2,195,0.606,1.432,0.994,0.480,1.280,0.994,0.125,0.152,0.057,3.7099,3.9412,21.250,15.300,42.500,36.466,-1
2,-1,0.606,1.432,0.994,0.480,1.280,0.994,0.125,0.152,0.057,-1,-1,-1,-1,-1,-1,0.24
3,0,0.606,1.432,0.994,0.480,1.280,0.994,0.125,0.152,0.057,3.9493,3.9493,14.844,14.844,35.547,35.547,-1
3,100,1.384,1.427,0.922,1.274,1.274,0.922,0.110,0.152,0.059,3.7026,3.7097,17.969,18.804,42.188,41.948,-1
3,195,0.588,1.421,0.863,0.407,1.269,0.862,0.181,0.152,0.058,3.7311,3.6517,20.000,19.794,42.500,43.210,-1
3,-1,0.588,1.421,0.863,0.407,1.269,0.862,0.181,0.152,0.058,-1,-1,-1,-1,-1,-1,0.89
4,0,0.588,1.421,0.863,0.407,1.269,0.862,0.181,0.152,0.058,3.5029,3.5029,26.172,26.172,47.656,47.656,-1
4,100,1.388,1.418,0.815,1.258,1.264,0.814,0.130,0.154,0.064,3.4679,3.4647,21.875,23.178,46.875,47.850,-1
4,195,0.632,1.415,0.773,0.474,1.259,0.772,0.158,0.156,0.066,3.2721,3.4241,27.500,23.798,50.000,48.694,-1
4,-1,0.632,1.415,0.773,0.474,1.259,0.772,0.158,0.156,0.066,-1,-1,-1,-1,-1,-1,0.31
5,0,0.632,1.415,0.773,0.474,1.259,0.772,0.158,0.156,0.066,3.4715,3.4715,22.266,22.266,47.656,47.656,-1
5,100,1.382,1.413,0.738,1.230,1.255,0.738,0.152,0.158,0.070,3.2953,3.2718,24.609,26.172,52.734,51.911,-1
5,195,0.620,1.410,0.706,0.472,1.253,0.706,0.147,0.157,0.070,3.3029,3.2427,22.500,26.864,52.500,52.454,-1
5,-1,0.620,1.410,0.706,0.472,1.253,0.706,0.147,0.157,0.070,-1,-1,-1,-1,-1,-1,0.51
6,0,0.620,1.410,0.706,0.472,1.253,0.706,0.147,0.157,0.070,3.2265,3.2265,33.203,33.203,54.688,54.688,-1
6,100,1.428,1.410,0.680,1.269,1.251,0.679,0.159,0.159,0.071,3.2282,3.1251,27.734,28.941,55.469,55.360,-1
6,195,0.797,1.408,0.655,0.415,1.245,0.655,0.381,0.163,0.077,2.9451,3.1069,27.500,29.346,56.250,55.504,-1
6,-1,0.797,1.408,0.655,0.415,1.245,0.655,0.381,0.163,0.077,-1,-1,-1,-1,-1,-1,1.01
7,0,0.797,1.408,0.655,0.415,1.245,0.655,0.381,0.163,0.077,3.0677,3.0677,33.203,33.203,56.250,56.250,-1
7,100,1.390,1.408,0.633,1.243,1.243,0.634,0.147,0.165,0.078,3.3314,3.0316,28.516,31.153,50.000,56.950,-1
7,195,0.700,1.408,0.613,0.499,1.242,0.614,0.201,0.166,0.078,2.7618,3.0138,37.500,31.496,65.000,57.442,-1
7,-1,0.700,1.408,0.613,0.499,1.242,0.614,0.201,0.166,0.078,-1,-1,-1,-1,-1,-1,0.62
8,0,0.700,1.408,0.613,0.499,1.242,0.614,0.201,0.166,0.078,2.9415,2.9415,33.594,33.594,60.156,60.156,-1
8,100,1.374,1.407,0.596,1.245,1.241,0.596,0.129,0.167,0.079,2.9981,2.9240,32.031,33.192,57.031,59.062,-1
8,195,0.621,1.406,0.579,0.482,1.240,0.580,0.139,0.167,0.078,2.9881,2.9207,30.000,33.282,52.500,59.208,-1
8,-1,0.621,1.406,0.579,0.482,1.240,0.580,0.139,0.167,0.078,-1,-1,-1,-1,-1,-1,0.29
9,0,0.621,1.406,0.579,0.482,1.240,0.580,0.139,0.167,0.078,3.0564,3.0564,32.812,32.812,56.641,56.641,-1
9,100,1.389,1.406,0.564,1.243,1.239,0.565,0.146,0.167,0.079,2.8031,2.8341,38.672,34.619,60.156,61.293,-1
9,195,0.863,1.405,0.550,0.481,1.237,0.551,0.382,0.168,0.079,3.0779,2.8370,28.750,34.470,53.750,61.250,-1
9,-1,0.863,1.405,0.550,0.481,1.237,0.551,0.382,0.168,0.079,-1,-1,-1,-1,-1,-1,0.42
10,0,0.863,1.405,0.550,0.481,1.237,0.551,0.382,0.168,0.079,2.8326,2.8326,37.500,37.500,58.203,58.203,-1
10,100,1.385,1.405,0.537,1.239,1.236,0.538,0.147,0.169,0.080,2.8719,2.7783,36.328,35.810,60.547,61.742,-1
10,195,0.798,1.404,0.525,0.415,1.234,0.526,0.383,0.170,0.081,2.8787,2.7789,36.250,35.872,62.500,61.844,-1
10,-1,0.798,1.404,0.525,0.415,1.234,0.526,0.383,0.170,0.081,-1,-1,-1,-1,-1,-1,1.19
11,0,0.798,1.404,0.525,0.415,1.234,0.526,0.383,0.170,0.081,2.7144,2.7144,34.375,34.375,62.500,62.500,-1
11,100,1.413,1.404,0.514,1.029,1.233,0.515,0.384,0.171,0.082,2.6753,2.7160,35.938,37.148,61.328,63.285,-1
11,195,0.681,1.404,0.504,0.489,1.232,0.504,0.192,0.172,0.082,3.2171,2.7164,22.500,36.990,50.000,63.204,-1
11,-1,0.681,1.404,0.504,0.489,1.232,0.504,0.192,0.172,0.082,-1,-1,-1,-1,-1,-1,0.29
12,0,0.681,1.404,0.504,0.489,1.232,0.504,0.192,0.172,0.082,2.7854,2.7854,33.984,33.984,63.672,63.672,-1
12,100,1.384,1.403,0.494,1.244,1.231,0.495,0.140,0.172,0.083,2.6136,2.6783,37.500,37.798,65.625,64.368,-1
12,195,0.823,1.403,0.484,0.439,1.231,0.485,0.384,0.172,0.083,2.6704,2.6833,30.000,37.778,63.750,64.036,-1
12,-1,0.823,1.403,0.484,0.439,1.231,0.485,0.384,0.172,0.083,-1,-1,-1,-1,-1,-1,0.4
13,0,0.823,1.403,0.484,0.439,1.231,0.485,0.384,0.172,0.083,2.6520,2.6520,41.016,41.016,62.500,62.500,-1
13,100,1.385,1.403,0.476,1.264,1.231,0.477,0.121,0.172,0.083,2.7280,2.6327,34.766,38.602,64.844,64.469,-1
13,195,0.616,1.402,0.467,0.476,1.229,0.468,0.141,0.173,0.084,2.9836,2.6403,33.750,38.552,57.500,64.594,-1
