BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.420,1.395,0.127,1.272,1.183,0.109,0.148,0.212,0.115,4.8868,5.7089,7.812,1.706,16.797,7.035,-1
0,195,25.842,1.527,1.796,25.460,1.321,1.783,0.382,0.206,0.114,4.5245,5.2517,8.750,3.218,17.500,11.548,-1
0,-1,25.842,1.527,1.796,25.460,1.321,1.783,0.382,0.206,0.114,-1,-1,-1,-1,-1,-1,0.15
1,0,25.842,1.527,1.796,25.460,1.321,1.783,0.382,0.206,0.114,4.5789,4.5789,6.250,6.250,19.141,19.141,-1
1,100,1.120,1.481,1.474,1.003,1.286,1.461,0.117,0.195,0.109,4.5534,4.4790,7.422,7.909,25.000,23.538,-1
1,195,0.765,1.458,1.273,0.385,1.258,1.263,0.380,0.199,0.112,4.5627,4.3961,5.000,9.076,23.750,25.360,-1
1,-1,0.765,1.458,1.273,0.385,1.258,1.263,0.380,0.199,0.112,-1,-1,-1,-1,-1,-1,0.94
2,0,0.765,1.458,1.273,0.385,1.258,1.263,0.380,0.199,0.112,4.2902,4.2902,8.594,8.594,21.484,21.484,-1
2,100,1.463,1.445,1.142,1.244,1.252,1.133,0.219,0.193,0.108,4.2690,4.1680,10.156,12.032,30.859,31.169,-1
2,195,0.633,1.435,1.041,0.485,1.248,1.032,0.148,0.187,0.104,3.9653,4.1102,10.000,12.786,36.250,32.524,-1
2,-1,0.633,1.435,1.041,0.485,1.248,1.032,0.148,0.187,0.104,-1,-1,-1,-1,-1,-1,0.2
3,0,0.633,1.435,1.041,0.485,1.248,1.032,0.148,0.187,0.104,4.0826,4.0826,14.062,14.062,31.641,31.641,-1
3,100,1.392,1.431,0.966,1.251,1.238,0.958,0.141,0.193,0.108,3.9923,3.9277,14.453,15.679,34.375,36.622,-1
3,195,0.864,1.426,0.903,0.482,1.236,0.896,0.382,0.191,0.106,3.9883,3.8816,20.000,16.380,37.500,37.804,-1
3,-1,0.864,1.426,0.903,0.482,1.236,0.896,0.382,0.191,0.106,-1,-1,-1,-1,-1,-1,0.74
4,0,0.864,1.426,0.903,0.482,1.236,0.896,0.382,0.191,0.106,3.8867,3.8867,16.016,16.016,39.844,39.844,-1
4,100,1.417,1.425,0.853,1.037,1.231,0.846,0.380,0.193,0.107,3.7155,3.7247,19.531,18.982,42.188,41.716,-1
4,195,0.535,1.422,0.809,0.389,1.230,0.803,0.146,0.192,0.105,3.5261,3.6921,18.750,19.482,45.000,42.586,-1
4,-1,0.535,1.422,0.809,0.389,1.230,0.803,0.146,0.192,0.105,-1,-1,-1,-1,-1,-1,0.62
5,0,0.535,1.422,0.809,0.389,1.230,0.803,0.146,0.192,0.105,3.8151,3.8151,17.969,17.969,41.016,41.016,-1
5,100,1.357,1.421,0.773,1.243,1.225,0.767,0.115,0.196,0.108,3.5942,3.5610,21.875,21.349,45.703,45.769,-1
5,195,0.630,1.419,0.740,0.490,1.226,0.734,0.140,0.193,0.106,3.6165,3.5330,18.750,21.928,48.750,46.126,-1
5,-1,0.630,1.419,0.740,0.490,1.226,0.734,0.140,0.193,0.106,-1,-1,-1,-1,-1,-1,0.23
6,0,0.630,1.419,0.740,0.490,1.226,0.734,0.140,0.193,0.106,3.5298,3.5298,21.484,21.484,45.703,45.703,-1
6,100,1.435,1.418,0.712,1.285,1.226,0.706,0.150,0.192,0.105,3.5574,3.4277,23.438,23.581,44.922,48.615,-1
6,195,0.621,1.416,0.686,0.486,1.226,0.680,0.135,0.189,0.104,3.2690,3.4121,28.750,24.154,51.250,48.898,-1
6,-1,0.621,1.416,0.686,0.486,1.226,0.680,0.135,0.189,0.104,-1,-1,-1,-1,-1,-1,0.89
7,0,0.621,1.416,0.686,0.486,1.226,0.680,0.135,0.189,0.104,3.3948,3.3948,24.609,24.609,51.562,51.562,-1
7,100,1.375,1.416,0.664,1.248,1.224,0.658,0.128,0.191,0.105,3.6106,3.3448,24.609,25.317,43.750,50.375,-1
7,195,0.691,1.414,0.643,0.481,1.224,0.638,0.209,0.190,0.104,2.9106,3.3252,27.500,25.640,55.000,50.838,-1
7,-1,0.691,1.414,0.643,0.481,1.224,0.638,0.209,0.190,0.104,-1,-1,-1,-1,-1,-1,0.7
8,0,0.691,1.414,0.643,0.481,1.224,0.638,0.209,0.190,0.104,3.3406,3.3406,24.219,24.219,54.688,54.688,-1
8,100,1.181,1.413,0.624,1.038,1.224,0.619,0.144,0.189,0.104,3.2748,3.2366,26.172,27.363,48.438,52.897,-1
8,195,0.553,1.412,0.607,0.474,1.224,0.602,0.079,0.188,0.103,3.2712,3.2338,23.750,27.376,51.250,52.922,-1
8,-1,0.553,1.412,0.607,0.474,1.224,0.602,0.079,0.188,0.103,-1,-1,-1,-1,-1,-1,0.01
9,0,0.553,1.412,0.607,0.474,1.224,0.602,0.079,0.188,0.103,3.3899,3.3899,25.000,25.000,48.438,48.438,-1
9,100,1.384,1.412,0.591,1.247,1.225,0.586,0.137,0.187,0.102,3.0200,3.1608,33.594,28.415,57.812,54.765,-1
9,195,0.636,1.411,0.577,0.479,1.224,0.572,0.157,0.187,0.102,3.4173,3.1564,27.500,28.708,41.250,54.660,-1
9,-1,0.636,1.411,0.577,0.479,1.224,0.572,0.157,0.187,0.102,-1,-1,-1,-1,-1,-1,0.23
10,0,0.636,1.411,0.577,0.479,1.224,0.572,0.157,0.187,0.102,3.1318,3.1318,28.906,28.906,56.250,56.250,-1
10,100,1.466,1.411,0.563,1.055,1.225,0.558,0.411,0.186,0.101,3.0848,3.1144,28.516,29.506,58.203,55.302,-1
10,195,0.763,1.410,0.550,0.381,1.223,0.546,0.382,0.187,0.102,3.1949,3.1080,31.250,29.756,52.500,55.546,-1
10,-1,0.763,1.410,0.550,0.381,1.223,0.546,0.382,0.187,0.102,-1,-1,-1,-1,-1,-1,1.67
11,0,0.763,1.410,0.550,0.381,1.223,0.546,0.382,0.187,0.102,3.1223,3.1223,29.297,29.297,57.031,57.031,-1
11,100,1.419,1.411,0.539,1.290,1.222,0.535,0.129,0.189,0.103,2.9785,3.0524,32.422,30.287,57.031,56.730,-1
11,195,0.616,1.410,0.527,0.477,1.221,0.524,0.139,0.189,0.103,3.4593,3.0560,23.750,30.500,46.250,56.582,-1
11,-1,0.616,1.410,0.527,0.477,1.221,0.524,0.139,0.189,0.103,-1,-1,-1,-1,-1,-1,0.4
12,0,0.616,1.410,0.527,0.477,1.221,0.524,0.139,0.189,0.103,3.2367,3.2367,25.000,25.000,54.688,54.688,-1
12,100,1.385,1.409,0.517,1.273,1.221,0.514,0.112,0.189,0.103,2.9274,3.0303,32.031,31.111,56.641,57.611,-1
12,195,0.634,1.409,0.508,0.478,1.221,0.504,0.156,0.188,0.103,2.9268,3.0301,28.750,31.128,57.500,57.332,-1
12,-1,0.634,1.409,0.508,0.478,1.221,0.504,0.156,0.188,0.103,-1,-1,-1,-1,-1,-1,0.33
