BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.381,1.391,0.073,1.266,1.242,0.051,0.116,0.149,0.051,4.7701,5.0620,5.859,3.976,17.188,12.581,-1
0,195,25.907,1.525,1.799,25.755,1.377,1.798,0.152,0.148,0.049,4.5190,4.8960,3.750,5.042,17.500,15.544,-1
0,-1,25.907,1.525,1.799,25.755,1.377,1.798,0.152,0.148,0.049,-1,-1,-1,-1,-1,-1,0.32
1,0,25.907,1.525,1.799,25.755,1.377,1.798,0.152,0.148,0.049,4.6687,4.6687,8.203,8.203,18.750,18.750,-1
1,100,1.407,1.482,1.475,1.253,1.326,1.475,0.153,0.156,0.066,4.6574,4.6072,5.859,7.457,21.094,21.109,-1
1,195,0.806,1.460,1.275,0.424,1.288,1.275,0.382,0.172,0.088,4.9209,4.5696,6.250,7.902,12.500,21.848,-1
1,-1,0.806,1.460,1.275,0.424,1.288,1.275,0.382,0.172,0.088,-1,-1,-1,-1,-1,-1,0.26
2,0,0.806,1.460,1.275,0.424,1.288,1.275,0.382,0.172,0.088,4.5772,4.5772,7.031,7.031,19.922,19.922,-1
2,100,1.360,1.448,1.143,0.976,1.265,1.145,0.384,0.183,0.097,4.4637,4.4426,7.422,9.240,26.953,24.992,-1
2,195,0.827,1.438,1.042,0.403,1.260,1.043,0.424,0.179,0.092,4.4486,4.4178,8.750,9.546,23.750,25.516,-1
2,-1,0.827,1.438,1.042,0.403,1.260,1.043,0.424,0.179,0.092,-1,-1,-1,-1,-1,-1,0.13
3,0,0.827,1.438,1.042,0.403,1.260,1.043,0.424,0.179,0.092,4.3699,4.3699,14.062,14.062,24.219,24.219,-1
3,100,1.392,1.434,0.967,1.268,1.255,0.968,0.124,0.179,0.092,4.3604,4.3184,10.156,11.065,28.906,28.090,-1
3,195,0.674,1.429,0.903,0.483,1.251,0.905,0.191,0.177,0.090,4.3995,4.3025,8.750,11.202,20.000,28.390,-1
3,-1,0.674,1.429,0.903,0.483,1.251,0.905,0.191,0.177,0.090,-1,-1,-1,-1,-1,-1,1.28
4,0,0.674,1.429,0.903,0.483,1.251,0.905,0.191,0.177,0.090,4.3606,4.3606,11.328,11.328,29.688,29.688,-1
4,100,1.407,1.426,0.853,1.266,1.248,0.854,0.141,0.178,0.091,4.1738,4.2089,14.062,12.272,32.812,30.519,-1
4,195,0.686,1.424,0.809,0.485,1.244,0.810,0.201,0.180,0.090,4.1897,4.1800,15.000,12.728,35.000,31.272,-1
4,-1,0.686,1.424,0.809,0.485,1.244,0.810,0.201,0.180,0.090,-1,-1,-1,-1,-1,-1,0.23
5,0,0.686,1.424,0.809,0.485,1.244,0.810,0.201,0.180,0.090,4.3220,4.3220,11.328,11.328,28.125,28.125,-1
5,100,1.386,1.422,0.773,1.241,1.243,0.774,0.145,0.178,0.089,4.0397,4.0686,15.625,14.136,35.547,34.236,-1
5,195,0.633,1.419,0.739,0.484,1.243,0.740,0.148,0.176,0.086,4.2342,4.0340,13.750,14.404,30.000,34.704,-1
5,-1,0.633,1.419,0.739,0.484,1.243,0.740,0.148,0.176,0.086,-1,-1,-1,-1,-1,-1,0.55
6,0,0.633,1.419,0.739,0.484,1.243,0.740,0.148,0.176,0.086,3.9725,3.9725,15.625,15.625,40.234,40.234,-1
6,100,1.407,1.418,0.711,1.255,1.239,0.713,0.151,0.179,0.089,4.0304,3.9399,14.062,15.915,35.547,36.970,-1
6,195,0.623,1.416,0.685,0.482,1.239,0.686,0.141,0.177,0.086,3.6125,3.9093,22.500,16.236,47.500,37.552,-1
6,-1,0.623,1.416,0.685,0.482,1.239,0.686,0.141,0.177,0.086,-1,-1,-1,-1,-1,-1,1.41
7,0,0.623,1.416,0.685,0.482,1.239,0.686,0.141,0.177,0.086,3.8512,3.8512,17.969,17.969,39.844,39.844,-1
7,100,1.380,1.415,0.663,1.253,1.237,0.664,0.126,0.177,0.087,3.8749,3.8209,19.141,17.536,39.062,39.681,-1
7,195,0.634,1.413,0.642,0.482,1.237,0.643,0.152,0.176,0.085,3.4740,3.7965,18.750,17.812,41.250,40.250,-1
7,-1,0.634,1.413,0.642,0.482,1.237,0.643,0.152,0.176,0.085,-1,-1,-1,-1,-1,-1,0.45
8,0,0.634,1.413,0.642,0.482,1.237,0.643,0.152,0.176,0.085,3.7133,3.7133,14.844,14.844,46.484,46.484,-1
8,100,1.402,1.412,0.623,1.250,1.237,0.624,0.152,0.175,0.084,3.7352,3.6914,17.969,19.589,42.188,42.547,-1
8,195,0.672,1.411,0.606,0.492,1.236,0.607,0.180,0.175,0.084,3.6565,3.6704,17.500,19.958,38.750,43.048,-1
8,-1,0.672,1.411,0.606,0.492,1.236,0.607,0.180,0.175,0.084,-1,-1,-1,-1,-1,-1,0.53
9,0,0.672,1.411,0.606,0.492,1.236,0.607,0.180,0.175,0.084,3.7322,3.7322,17.188,17.188,40.234,40.234,-1
9,100,1.357,1.411,0.590,1.252,1.232,0.592,0.105,0.179,0.088,3.5626,3.5685,23.438,21.071,46.875,45.800,-1
9,195,0.596,1.410,0.576,0.479,1.232,0.577,0.118,0.178,0.087,3.4650,3.5559,26.250,21.500,47.500,45.938,-1
9,-1,0.596,1.410,0.576,0.479,1.232,0.577,0.118,0.178,0.087,-1,-1,-1,-1,-1,-1,0.1
10,0,0.596,1.410,0.576,0.479,1.232,0.577,0.118,0.178,0.087,3.6212,3.6212,17.969,17.969,44.922,44.922,-1
10,100,1.371,1.409,0.562,1.240,1.231,0.563,0.131,0.179,0.087,3.4121,3.4793,26.953,22.703,47.266,47.219,-1
10,195,0.631,1.408,0.549,0.481,1.231,0.550,0.151,0.177,0.086,3.6272,3.4599,22.500,23.234,41.250,47.820,-1
10,-1,0.631,1.408,0.549,0.481,1.231,0.550,0.151,0.177,0.086,-1,-1,-1,-1,-1,-1,0.66
11,0,0.631,1.408,0.549,0.481,1.231,0.550,0.151,0.177,0.086,3.3732,3.3732,23.438,23.438,49.219,49.219,-1
11,100,1.413,1.408,0.538,1.280,1.230,0.539,0.133,0.178,0.087,3.4581,3.3906,21.484,24.130,43.750,49.215,-1
11,195,0.630,1.407,0.527,0.474,1.230,0.528,0.156,0.177,0.086,3.6792,3.3707,20.000,24.454,45.000,49.660,-1
11,-1,0.630,1.407,0.527,0.474,1.230,0.528,0.156,0.177,0.086,-1,-1,-1,-1,-1,-1,0.41
12,0,0.630,1.407,0.527,0.474,1.230,0.528,0.156,0.177,0.086,3.2913,3.2913,24.219,24.219,51.562,51.562,-1
12,100,1.413,1.407,0.517,1.030,1.228,0.518,0.383,0.179,0.087,3.2004,3.3057,28.516,25.901,52.344,51.373,-1
12,195,0.619,1.407,0.507,0.476,1.227,0.508,0.143,0.180,0.088,3.1705,3.2898,25.000,26.180,55.000,51.842,-1
12,-1,0.619,1.407,0.507,0.476,1.227,0.508,0.143,0.180,0.088,-1,-1,-1,-1,-1,-1,0.64
13,0,0.619,1.407,0.507,0.476,1.227,0.508,0.143,0.180,0.088,3.1848,3.1848,26.562,26.562,55.469,55.469,-1
13,100,1.491,1.406,0.498,1.048,1.227,0.499,0.443,0.179,0.087,3.4394,3.2138,23.828,27.599,49.219,53.260,-1
13,195,0.604,1.406,0.489,0.481,1.226,0.490,0.123,0.180,0.088,3.3983,3.2052,25.000,27.960,42.500,53.450,-1
13,-1,0.604,1.406,0.489,0.481,1.226,0.490,0.123,0.180,0.088,-1,-1,-1,-1,-1,-1,0.7
14,0,0.604,1.406,0.489,0.481,1.226,0.490,0.123,0.180,0.088,3.1576,3.1576,27.734,27.734,52.734,52.734,-1
14,100,1.628,1.406,0.481,1.246,1.226,0.482,0.382,0.180,0.088,3.2528,3.1167,26.953,29.332,50.391,55.163,-1
14,195,0.636,1.405,0.473,0.487,1.226,0.474,0.149,0.179,0.088,3.3052,3.1246,26.250,28.988,50.000,54.944,-1
14,-1,0.636,1.405,0.473,0.487,1.226,0.474,0.149,0.179,0.088,-1,-1,-1,-1,-1,-1,0.55
15,0,0.636,1.405,0.473,0.487,1.226,0.474,0.149,0.179,0.088,3.1406,3.1406,23.828,23.828,53.125,53.125,-1
15,100,1.499,1.405,0.466,1.113,1.225,0.467,0.385,0.180,0.088,3.0078,3.0671,25.391,29.695,59.375,56.238,-1
15,195,0.630,1.405,0.459,0.478,1.225,0.460,0.152,0.180,0.088,3.1285,3.0456,25.000,30.266,48.750,56.844,-1
15,-1,0.630,1.405,0.459,0.478,1.225,0.460,0.152,0.180,0.088,-1,-1,-1,-1,-1,-1,0.48
16,0,0.630,1.405,0.459,0.478,1.225,0.460,0.152,0.180,0.088,3.0027,3.0027,29.297,29.297,54.688,54.688,-1
16,100,1.398,1.405,0.452,1.247,1.225,0.453,0.151,0.179,0.087,3.2238,2.9899,25.391,31.470,53.125,57.940,-1
16,195,0.784,1.405,0.445,0.403,1.225,0.447,0.382,0.180,0.088,3.1986,2.9830,27.500,31.774,51.250,57.902,-1
16,-1,0.784,1.405,0.445,0.403,1.225,0.447,0.382,0.180,0.088,-1,-1,-1,-1,-1,-1,1.01
