BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.416,1.404,0.090,1.245,1.243,0.063,0.171,0.162,0.064,4.6585,4.9897,7.812,4.250,19.141,13.769,-1
0,195,29.280,1.695,2.132,29.124,1.508,2.111,0.156,0.187,0.170,4.4208,4.8212,6.250,5.626,22.500,16.986,-1
0,-1,29.280,1.695,2.132,29.124,1.508,2.111,0.156,0.187,0.170,-1,-1,-1,-1,-1,-1,0.39
1,0,29.280,1.695,2.132,29.124,1.508,2.111,0.156,0.187,0.170,4.5295,4.5295,8.594,8.594,23.047,23.047,-1
1,100,1.426,1.600,1.751,1.266,1.424,1.732,0.160,0.176,0.142,4.5686,4.4400,6.641,9.178,24.219,24.927,-1
1,195,0.646,1.551,1.514,0.481,1.377,1.497,0.165,0.175,0.127,4.6446,4.3698,3.750,9.990,23.750,26.556,-1
1,-1,0.646,1.551,1.514,0.481,1.377,1.497,0.165,0.175,0.127,-1,-1,-1,-1,-1,-1,0.53
2,0,0.646,1.551,1.514,0.481,1.377,1.497,0.165,0.175,0.127,4.2565,4.2565,10.547,10.547,27.344,27.344,-1
2,100,1.422,1.525,1.358,1.265,1.351,1.343,0.157,0.174,0.118,4.1517,4.1249,12.500,12.809,35.156,32.283,-1
2,195,0.603,1.506,1.238,0.481,1.334,1.224,0.122,0.172,0.109,3.9235,4.0531,20.000,13.672,38.750,33.984,-1
2,-1,0.603,1.506,1.238,0.481,1.334,1.224,0.122,0.172,0.109,-1,-1,-1,-1,-1,-1,0.13
3,0,0.603,1.506,1.238,0.481,1.334,1.224,0.122,0.172,0.109,4.0449,4.0449,16.016,16.016,30.078,30.078,-1
3,100,1.414,1.493,1.149,1.256,1.323,1.135,0.157,0.170,0.102,3.7856,3.8245,16.406,17.497,41.016,39.244,-1
3,195,0.644,1.482,1.074,0.485,1.313,1.061,0.159,0.169,0.096,3.8994,3.7615,18.750,18.426,38.750,40.718,-1
3,-1,0.644,1.482,1.074,0.485,1.313,1.061,0.159,0.169,0.096,-1,-1,-1,-1,-1,-1,1.13
4,0,0.644,1.482,1.074,0.485,1.313,1.061,0.159,0.169,0.096,3.6220,3.6220,21.484,21.484,44.141,44.141,-1
4,100,1.415,1.474,1.014,1.267,1.305,1.002,0.148,0.169,0.093,3.5714,3.5603,21.094,21.523,43.750,45.618,-1
4,195,0.631,1.467,0.962,0.476,1.300,0.950,0.155,0.167,0.089,3.3420,3.5166,26.250,22.312,47.500,46.574,-1
4,-1,0.631,1.467,0.962,0.476,1.300,0.950,0.155,0.167,0.089,-1,-1,-1,-1,-1,-1,0.3
5,0,0.631,1.467,0.962,0.476,1.300,0.950,0.155,0.167,0.089,3.5379,3.5379,21.875,21.875,45.703,45.703,-1
5,100,1.427,1.462,0.918,1.260,1.296,0.907,0.167,0.166,0.086,3.3521,3.3434,24.609,25.162,51.562,50.627,-1
5,195,0.628,1.457,0.879,0.474,1.290,0.868,0.154,0.167,0.084,3.3751,3.3093,23.750,25.796,52.500,51.188,-1
5,-1,0.628,1.457,0.879,0.474,1.290,0.868,0.154,0.167,0.084,-1,-1,-1,-1,-1,-1,0.54
6,0,0.628,1.457,0.879,0.474,1.290,0.868,0.154,0.167,0.084,3.2897,3.2897,29.297,29.297,53.516,53.516,-1
6,100,1.422,1.453,0.845,1.263,1.287,0.835,0.159,0.166,0.081,3.2677,3.1779,28.516,28.024,51.562,54.119,-1
6,195,0.610,1.450,0.814,0.481,1.285,0.804,0.128,0.165,0.079,3.0799,3.1531,23.750,28.594,53.750,54.462,-1
6,-1,0.610,1.450,0.814,0.481,1.285,0.804,0.128,0.165,0.079,-1,-1,-1,-1,-1,-1,1.07
7,0,0.610,1.450,0.814,0.481,1.285,0.804,0.128,0.165,0.079,3.0256,3.0256,32.031,32.031,55.859,55.859,-1
7,100,1.387,1.448,0.788,1.257,1.282,0.777,0.129,0.165,0.078,3.3669,3.0736,27.344,30.244,47.656,55.983,-1
7,195,0.721,1.446,0.762,0.479,1.280,0.753,0.242,0.166,0.076,2.8517,3.0460,27.500,30.800,56.250,56.706,-1
7,-1,0.721,1.446,0.762,0.479,1.280,0.753,0.242,0.166,0.076,-1,-1,-1,-1,-1,-1,0.52
8,0,0.721,1.446,0.762,0.479,1.280,0.753,0.242,0.166,0.076,2.9929,2.9929,32.812,32.812,57.812,57.812,-1
8,100,1.415,1.444,0.740,1.256,1.279,0.731,0.159,0.165,0.074,3.0060,2.9421,30.469,32.766,57.812,58.818,-1
8,195,0.884,1.442,0.719,0.477,1.276,0.710,0.407,0.165,0.074,2.9812,2.9337,26.250,33.030,56.250,59.004,-1
8,-1,0.884,1.442,0.719,0.477,1.276,0.710,0.407,0.165,0.074,-1,-1,-1,-1,-1,-1,0.29
9,0,0.884,1.442,0.719,0.477,1.276,0.710,0.407,0.165,0.074,3.0502,3.0502,36.328,36.328,58.984,58.984,-1
9,100,1.436,1.440,0.701,1.276,1.275,0.692,0.160,0.165,0.073,2.6660,2.8410,42.578,34.375,65.234,61.139,-1
9,195,0.654,1.438,0.683,0.484,1.273,0.674,0.170,0.165,0.071,3.0944,2.8408,31.250,34.476,55.000,61.086,-1
9,-1,0.654,1.438,0.683,0.484,1.273,0.674,0.170,0.165,0.071,-1,-1,-1,-1,-1,-1,0.59
10,0,0.654,1.438,0.683,0.484,1.273,0.674,0.170,0.165,0.071,2.7828,2.7828,35.938,35.938,64.062,64.062,-1
10,100,1.403,1.437,0.667,1.256,1.272,0.658,0.147,0.165,0.070,2.8475,2.7759,34.375,35.686,61.328,62.268,-1
10,195,0.639,1.436,0.651,0.491,1.271,0.643,0.148,0.165,0.069,2.9810,2.7757,31.250,35.854,58.750,62.168,-1
10,-1,0.639,1.436,0.651,0.491,1.271,0.643,0.148,0.165,0.069,-1,-1,-1,-1,-1,-1,0.86
11,0,0.639,1.436,0.651,0.491,1.271,0.643,0.148,0.165,0.069,2.6522,2.6522,36.328,36.328,66.797,66.797,-1
11,100,1.417,1.435,0.638,1.276,1.270,0.629,0.141,0.165,0.068,2.8349,2.7100,33.984,37.005,60.156,63.475,-1
11,195,0.677,1.434,0.624,0.479,1.269,0.616,0.199,0.165,0.067,3.1039,2.7079,27.500,36.964,52.500,63.382,-1
11,-1,0.677,1.434,0.624,0.479,1.269,0.616,0.199,0.165,0.067,-1,-1,-1,-1,-1,-1,0.36
12,0,0.677,1.434,0.624,0.479,1.269,0.616,0.199,0.165,0.067,2.8133,2.8133,32.812,32.812,62.500,62.500,-1
12,100,1.390,1.433,0.612,1.247,1.268,0.604,0.143,0.165,0.066,2.5821,2.6634,37.891,37.980,66.797,64.538,-1
12,195,0.616,1.432,0.600,0.477,1.267,0.592,0.139,0.165,0.066,2.6062,2.6636,35.000,38.138,66.250,64.366,-1
12,-1,0.616,1.432,0.600,0.477,1.267,0.592,0.139,0.165,0.066,-1,-1,-1,-1,-1,-1,0.58
13,0,0.616,1.432,0.600,0.477,1.267,0.592,0.139,0.165,0.066,2.6909,2.6909,37.891,37.891,60.156,60.156,-1
13,100,1.427,1.431,0.589,1.273,1.266,0.581,0.154,0.164,0.065,2.7444,2.6139,30.859,38.869,63.281,64.971,-1
