BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,3.622,2.931,0.265,2.699,2.521,0.270,0.923,0.411,0.281,4.6079,5.0077,6.641,3.957,21.094,13.161,-1
0,195,31.377,3.083,2.101,30.490,2.680,2.067,0.887,0.404,0.272,4.9923,4.8542,2.500,5.204,10.000,16.000,-1
0,-1,31.377,3.083,2.101,30.490,2.680,2.067,0.887,0.404,0.272,-1,-1,-1,-1,-1,-1,0.38
1,0,31.377,3.083,2.101,30.490,2.680,2.067,0.887,0.404,0.272,4.6026,4.6026,9.375,9.375,20.703,20.703,-1
1,100,2.985,3.034,1.728,2.721,2.597,1.706,0.265,0.437,0.291,4.5125,4.5421,7.031,8.238,21.094,22.753,-1
1,195,1.724,3.003,1.496,0.918,2.559,1.483,0.806,0.445,0.295,4.2486,4.5079,11.250,8.664,26.250,23.524,-1
1,-1,1.724,3.003,1.496,0.918,2.559,1.483,0.806,0.445,0.295,-1,-1,-1,-1,-1,-1,0.32
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.504,1.489,0.073,1.299,1.267,0.049,0.205,0.222,0.050,4.6174,5.0125,6.250,3.937,19.141,13.154,-1
0,195,27.167,1.631,1.884,26.960,1.415,1.884,0.207,0.216,0.053,4.9974,4.8592,1.250,5.172,11.250,15.870,-1
0,-1,27.167,1.631,1.884,26.960,1.415,1.884,0.207,0.216,0.053,-1,-1,-1,-1,-1,-1,0.23
1,0,27.167,1.631,1.884,26.960,1.415,1.884,0.207,0.216,0.053,4.5996,4.5996,9.766,9.766,19.922,19.922,-1
1,100,1.475,1.589,1.545,1.317,1.370,1.544,0.159,0.219,0.062,4.5014,4.5454,7.031,8.265,21.875,22.726,-1
1,195,0.680,1.565,1.334,0.487,1.347,1.334,0.193,0.218,0.061,4.2382,4.5105,10.000,8.684,25.000,23.480,-1
1,-1,0.680,1.565,1.334,0.487,1.347,1.334,0.193,0.218,0.061,-1,-1,-1,-1,-1,-1,0.33
