BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.486,1.475,0.119,1.299,1.258,0.082,0.187,0.218,0.083,4.6196,5.0085,6.641,3.910,20.312,12.949,-1
0,195,28.085,1.621,1.954,27.872,1.407,1.952,0.214,0.213,0.070,5.0055,4.8520,2.500,5.146,10.000,15.870,-1
0,-1,28.085,1.621,1.954,27.872,1.407,1.952,0.214,0.213,0.070,-1,-1,-1,-1,-1,-1,0.31
1,0,28.085,1.621,1.954,27.872,1.407,1.952,0.214,0.213,0.070,4.5703,4.5703,7.812,7.812,20.703,20.703,-1
1,100,1.460,1.575,1.602,1.285,1.358,1.601,0.175,0.217,0.076,4.4764,4.5266,7.812,8.389,22.266,23.066,-1
1,195,0.693,1.550,1.386,0.487,1.328,1.383,0.206,0.223,0.087,4.2377,4.4906,10.000,8.824,26.250,23.880,-1
1,-1,0.693,1.550,1.386,0.487,1.328,1.383,0.206,0.223,0.087,-1,-1,-1,-1,-1,-1,0.3
2,0,0.693,1.550,1.386,0.487,1.328,1.383,0.206,0.223,0.087,4.2129,4.2129,11.719,11.719,29.297,29.297,-1
2,100,1.533,1.537,1.243,1.114,1.314,1.241,0.419,0.223,0.089,4.2891,4.3284,12.500,10.299,28.906,27.893,-1
2,195,0.845,1.527,1.134,0.424,1.299,1.132,0.422,0.228,0.094,4.2001,4.2896,10.000,11.126,40.000,28.898,-1
2,-1,0.845,1.527,1.134,0.424,1.299,1.132,0.422,0.228,0.094,-1,-1,-1,-1,-1,-1,0.16
3,0,0.845,1.527,1.134,0.424,1.299,1.132,0.422,0.228,0.094,4.1944,4.1944,13.672,13.672,29.297,29.297,-1
3,100,1.482,1.520,1.053,1.266,1.293,1.050,0.216,0.226,0.094,4.1994,4.1584,12.109,12.732,32.031,31.463,-1
3,195,0.698,1.513,0.984,0.480,1.289,0.981,0.217,0.224,0.092,3.9950,4.1157,13.750,13.192,40.000,32.586,-1
3,-1,0.698,1.513,0.984,0.480,1.289,0.981,0.217,0.224,0.092,-1,-1,-1,-1,-1,-1,5.18
4,0,0.698,1.513,0.984,0.480,1.289,0.981,0.217,0.224,0.092,4.0855,4.0855,16.406,16.406,35.938,35.938,-1
4,100,1.510,1.509,0.930,1.284,1.287,0.927,0.226,0.222,0.092,3.9958,3.9812,14.844,15.292,37.500,36.081,-1
4,195,0.662,1.505,0.882,0.489,1.283,0.879,0.173,0.222,0.091,3.7666,3.9387,20.000,15.730,41.250,37.072,-1
4,-1,0.662,1.505,0.882,0.489,1.283,0.879,0.173,0.222,0.091,-1,-1,-1,-1,-1,-1,0.69
5,0,0.662,1.505,0.882,0.489,1.283,0.879,0.173,0.222,0.091,4.1064,4.1064,12.109,12.109,32.812,32.812,-1
5,100,1.435,1.502,0.843,1.271,1.281,0.839,0.164,0.220,0.092,3.5348,3.8200,20.703,17.230,46.875,39.565,-1
5,195,0.678,1.499,0.807,0.479,1.279,0.803,0.198,0.219,0.091,3.8857,3.7852,15.000,18.010,40.000,40.248,-1
5,-1,0.678,1.499,0.807,0.479,1.279,0.803,0.198,0.219,0.091,-1,-1,-1,-1,-1,-1,0.59
6,0,0.678,1.499,0.807,0.479,1.279,0.803,0.198,0.219,0.091,3.6833,3.6833,21.094,21.094,41.797,41.797,-1
6,100,1.245,1.497,0.777,1.035,1.277,0.773,0.210,0.219,0.091,3.5738,3.6535,18.750,20.057,46.875,43.363,-1
6,195,0.710,1.495,0.749,0.498,1.273,0.745,0.212,0.221,0.093,3.2195,3.6094,23.750,20.690,56.250,44.410,-1
6,-1,0.710,1.495,0.749,0.498,1.273,0.745,0.212,0.221,0.093,-1,-1,-1,-1,-1,-1,1.87
7,0,0.710,1.495,0.749,0.498,1.273,0.745,0.212,0.221,0.093,3.4335,3.4335,22.656,22.656,47.656,47.656,-1
7,100,1.351,1.493,0.724,1.161,1.273,0.721,0.190,0.220,0.092,3.5828,3.4848,23.438,22.660,44.531,47.324,-1
