BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,2.950,2.922,0.183,2.656,2.618,0.165,0.294,0.304,0.164,4.6080,5.0022,6.250,3.860,22.266,13.285,-1
0,195,28.905,3.055,1.914,28.099,2.752,1.876,0.806,0.302,0.164,4.9855,4.8427,3.750,5.262,11.250,16.204,-1
0,-1,28.905,3.055,1.914,28.099,2.752,1.876,0.806,0.302,0.164,-1,-1,-1,-1,-1,-1,0.24
1,0,28.905,3.055,1.914,28.099,2.752,1.876,0.806,0.302,0.164,4.5420,4.5420,7.422,7.422,21.094,21.094,-1
1,100,3.002,3.013,1.573,2.727,2.712,1.540,0.276,0.300,0.162,4.4604,4.5056,8.203,8.559,23.047,23.534,-1
1,195,1.619,2.989,1.361,0.919,2.658,1.340,0.700,0.331,0.195,4.1966,4.4691,11.250,9.000,27.500,24.478,-1
1,-1,1.619,2.989,1.361,0.919,2.658,1.340,0.700,0.331,0.195,-1,-1,-1,-1,-1,-1,0.42
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.407,1.410,0.070,1.281,1.270,0.047,0.126,0.140,0.051,4.6239,5.0066,6.641,3.868,21.875,13.030,-1
0,195,26.524,1.548,1.843,26.401,1.403,1.844,0.123,0.145,0.062,5.0175,4.8521,2.500,5.212,8.750,15.858,-1
0,-1,26.524,1.548,1.843,26.401,1.403,1.844,0.123,0.145,0.062,-1,-1,-1,-1,-1,-1,0.21
1,0,26.524,1.548,1.843,26.401,1.403,1.844,0.123,0.145,0.062,4.5836,4.5836,7.812,7.812,20.312,20.312,-1
1,100,1.414,1.504,1.512,1.298,1.355,1.512,0.116,0.149,0.071,4.4815,4.5228,6.250,8.424,23.047,22.927,-1
1,195,0.630,1.478,1.306,0.484,1.330,1.306,0.146,0.148,0.069,4.2177,4.4837,10.000,8.902,35.000,23.992,-1
1,-1,0.630,1.478,1.306,0.484,1.330,1.306,0.146,0.148,0.069,-1,-1,-1,-1,-1,-1,0.49
2,0,0.630,1.478,1.306,0.484,1.330,1.306,0.146,0.148,0.069,4.2119,4.2119,10.938,10.938,28.516,28.516,-1
2,100,1.168,1.466,1.171,1.043,1.320,1.170,0.125,0.146,0.066,4.2633,4.3238,13.672,10.504,30.859,28.125,-1
2,195,0.602,1.457,1.068,0.486,1.308,1.067,0.116,0.148,0.069,4.1499,4.2825,8.750,11.150,32.500,29.132,-1
2,-1,0.602,1.457,1.068,0.486,1.308,1.067,0.116,0.148,0.069,-1,-1,-1,-1,-1,-1,0.11
3,0,0.602,1.457,1.068,0.486,1.308,1.067,0.116,0.148,0.069,4.1525,4.1525,14.453,14.453,30.859,30.859,-1
3,100,1.448,1.451,0.991,1.268,1.302,0.990,0.180,0.148,0.069,4.1763,4.1405,11.719,12.744,32.812,31.861,-1
3,195,0.608,1.445,0.927,0.488,1.298,0.925,0.120,0.148,0.067,3.8863,4.0960,13.750,13.308,37.500,32.986,-1
3,-1,0.608,1.445,0.927,0.488,1.298,0.925,0.120,0.148,0.067,-1,-1,-1,-1,-1,-1,3.04
4,0,0.608,1.445,0.927,0.488,1.298,0.925,0.120,0.148,0.067,4.0676,4.0676,16.406,16.406,35.938,35.938,-1
4,100,1.444,1.443,0.875,1.296,1.296,0.873,0.148,0.147,0.065,3.9992,3.9522,12.891,15.621,35.547,36.552,-1
4,195,0.597,1.439,0.830,0.486,1.293,0.828,0.111,0.147,0.064,3.7100,3.9065,20.000,16.230,43.750,37.664,-1
4,-1,0.597,1.439,0.830,0.486,1.293,0.828,0.111,0.147,0.064,-1,-1,-1,-1,-1,-1,0.39
5,0,0.597,1.439,0.830,0.486,1.293,0.828,0.111,0.147,0.064,4.0657,4.0657,12.109,12.109,33.203,33.203,-1
5,100,1.409,1.437,0.792,1.296,1.291,0.790,0.113,0.146,0.064,3.5087,3.7772,21.094,17.752,46.094,40.439,-1
5,195,0.594,1.436,0.759,0.478,1.288,0.757,0.116,0.148,0.065,3.8269,3.7379,21.250,18.620,40.000,41.400,-1
5,-1,0.594,1.436,0.759,0.478,1.288,0.757,0.116,0.148,0.065,-1,-1,-1,-1,-1,-1,1.74
6,0,0.594,1.436,0.759,0.478,1.288,0.757,0.116,0.148,0.065,3.6020,3.6020,21.875,21.875,44.531,44.531,-1
6,100,1.405,1.434,0.730,1.297,1.286,0.728,0.108,0.148,0.065,3.5475,3.5996,19.922,21.040,45.312,44.833,-1
6,195,0.624,1.432,0.704,0.493,1.283,0.701,0.131,0.149,0.068,3.2072,3.5523,23.750,21.698,55.000,45.966,-1
6,-1,0.624,1.432,0.704,0.493,1.283,0.701,0.131,0.149,0.068,-1,-1,-1,-1,-1,-1,0.67
7,0,0.624,1.432,0.704,0.493,1.283,0.701,0.131,0.149,0.068,3.3020,3.3020,26.562,26.562,50.781,50.781,-1
7,100,1.399,1.431,0.681,1.288,1.282,0.678,0.111,0.149,0.068,3.5419,3.4191,23.828,23.979,44.141,48.913,-1
7,195,0.623,1.429,0.660,0.481,1.280,0.657,0.142,0.149,0.069,3.2139,3.3911,28.750,24.370,50.000,49.478,-1
7,-1,0.623,1.429,0.660,0.481,1.280,0.657,0.142,0.149,0.069,-1,-1,-1,-1,-1,-1,0.38
8,0,0.623,1.429,0.660,0.481,1.280,0.657,0.142,0.149,0.069,3.2358,3.2358,25.000,25.000,51.953,51.953,-1
8,100,1.696,1.429,0.641,1.297,1.279,0.638,0.399,0.150,0.069,3.3802,3.2991,26.953,26.230,51.562,51.543,-1
8,195,0.613,1.428,0.623,0.484,1.279,0.620,0.129,0.149,0.068,3.1061,3.2809,23.750,26.462,60.000,51.894,-1
8,-1,0.613,1.428,0.623,0.484,1.279,0.620,0.129,0.149,0.068,-1,-1,-1,-1,-1,-1,0.78
9,0,0.613,1.428,0.623,0.484,1.279,0.620,0.129,0.149,0.068,3.1026,3.1026,28.906,28.906,52.734,52.734,-1
9,100,1.419,1.427,0.607,1.271,1.277,0.604,0.148,0.150,0.069,3.3130,3.1773,28.125,27.951,51.172,53.953,-1
9,195,0.629,1.426,0.592,0.484,1.277,0.589,0.145,0.149,0.068,3.5775,3.1512,17.500,28.570,43.750,54.404,-1
9,-1,0.629,1.426,0.592,0.484,1.277,0.589,0.145,0.149,0.068,-1,-1,-1,-1,-1,-1,0.89
10,0,0.629,1.426,0.592,0.484,1.277,0.589,0.145,0.149,0.068,3.1218,3.1218,27.344,27.344,54.297,54.297,-1
10,100,1.685,1.426,0.578,1.293,1.276,0.575,0.392,0.149,0.068,3.1245,3.0613,30.469,30.600,54.297,56.644,-1
10,195,0.632,1.425,0.565,0.493,1.276,0.562,0.139,0.149,0.068,3.1864,3.0472,30.000,30.832,52.500,56.670,-1
10,-1,0.632,1.425,0.565,0.493,1.276,0.562,0.139,0.149,0.068,-1,-1,-1,-1,-1,-1,0.61
