BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.411,1.454,0.112,1.255,1.264,0.080,0.156,0.190,0.080,5.0551,5.7646,2.344,1.137,10.547,4.773,-1
0,195,28.037,1.606,1.954,27.882,1.408,1.954,0.155,0.198,0.095,4.9892,5.3655,3.750,2.146,10.000,8.086,-1
0,-1,28.037,1.606,1.954,27.882,1.408,1.954,0.155,0.198,0.095,-1,-1,-1,-1,-1,-1,0.33
1,0,28.037,1.606,1.954,27.882,1.408,1.954,0.155,0.198,0.095,4.7811,4.7811,6.641,6.641,17.969,17.969,-1
1,100,1.487,1.558,1.602,1.250,1.361,1.602,0.237,0.197,0.094,4.5249,4.6053,7.422,6.250,20.312,19.450,-1
1,195,0.658,1.532,1.384,0.500,1.335,1.384,0.158,0.196,0.091,4.1798,4.5172,7.500,7.250,30.000,21.988,-1
1,-1,0.658,1.532,1.384,0.500,1.335,1.384,0.158,0.196,0.091,-1,-1,-1,-1,-1,-1,1.37
2,0,0.658,1.532,1.384,0.500,1.335,1.384,0.158,0.196,0.091,4.2198,4.2198,10.547,10.547,28.125,28.125,-1
2,100,1.405,1.517,1.242,0.979,1.316,1.242,0.426,0.201,0.095,4.1199,4.2427,13.281,10.806,32.422,29.003,-1
2,195,0.706,1.508,1.132,0.529,1.303,1.132,0.177,0.205,0.097,4.2379,4.1862,10.000,11.686,25.000,30.576,-1
2,-1,0.706,1.508,1.132,0.529,1.303,1.132,0.177,0.205,0.097,-1,-1,-1,-1,-1,-1,0.5
3,0,0.706,1.508,1.132,0.529,1.303,1.132,0.177,0.205,0.097,4.0698,4.0698,14.062,14.062,33.594,33.594,-1
3,100,1.468,1.501,1.051,1.285,1.300,1.050,0.182,0.202,0.095,4.1244,4.0071,9.766,13.888,33.594,34.897,-1
3,195,0.708,1.496,0.983,0.559,1.294,0.982,0.149,0.202,0.098,3.8896,3.9593,15.000,14.574,32.500,35.952,-1
3,-1,0.708,1.496,0.983,0.559,1.294,0.982,0.149,0.202,0.098,-1,-1,-1,-1,-1,-1,2.02
4,0,0.708,1.496,0.983,0.559,1.294,0.982,0.149,0.202,0.098,3.9987,3.9987,16.797,16.797,37.109,37.109,-1
4,100,1.409,1.493,0.929,1.258,1.290,0.928,0.151,0.202,0.098,3.9055,3.8348,11.328,16.905,37.109,39.113,-1
