BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.227,1.463,0.128,1.072,1.262,0.101,0.154,0.200,0.096,4.7697,5.1922,4.297,3.214,16.797,11.336,-1
0,195,27.664,1.607,1.925,27.505,1.401,1.927,0.159,0.206,0.100,5.0243,4.9931,3.750,4.438,8.750,14.112,-1
0,-1,27.664,1.607,1.925,27.505,1.401,1.927,0.159,0.206,0.100,-1,-1,-1,-1,-1,-1,0.12
1,0,27.664,1.607,1.925,27.505,1.401,1.927,0.159,0.206,0.100,4.7000,4.7000,7.812,7.812,17.578,17.578,-1
1,100,1.486,1.561,1.578,1.316,1.365,1.579,0.170,0.196,0.091,4.6592,4.6746,5.859,6.703,18.750,19.667,-1
1,195,0.983,1.535,1.363,0.549,1.338,1.364,0.434,0.197,0.089,4.5455,4.6518,7.500,7.030,21.250,20.264,-1
1,-1,0.983,1.535,1.363,0.549,1.338,1.364,0.434,0.197,0.089,-1,-1,-1,-1,-1,-1,0.21
2,0,0.983,1.535,1.363,0.549,1.338,1.364,0.434,0.197,0.089,4.4600,4.4600,12.109,12.109,26.953,26.953,-1
2,100,1.470,1.522,1.223,1.307,1.328,1.223,0.162,0.194,0.086,4.5335,4.5434,8.203,8.315,26.172,22.908,-1
2,195,0.689,1.513,1.115,0.494,1.317,1.115,0.195,0.195,0.084,4.4283,4.5163,7.500,8.698,25.000,23.654,-1
2,-1,0.689,1.513,1.115,0.494,1.317,1.115,0.195,0.195,0.084,-1,-1,-1,-1,-1,-1,0.1
3,0,0.689,1.513,1.115,0.494,1.317,1.115,0.195,0.195,0.084,4.3889,4.3889,11.719,11.719,25.000,25.000,-1
3,100,1.457,1.508,1.035,1.252,1.311,1.034,0.205,0.197,0.088,4.4725,4.4254,8.594,9.615,27.734,25.615,-1
3,195,0.715,1.503,0.968,0.552,1.299,0.968,0.163,0.204,0.095,4.3150,4.4077,10.000,9.782,25.000,25.986,-1
3,-1,0.715,1.503,0.968,0.552,1.299,0.968,0.163,0.204,0.095,-1,-1,-1,-1,-1,-1,1.38
4,0,0.715,1.503,0.968,0.552,1.299,0.968,0.163,0.204,0.095,4.4106,4.4106,8.594,8.594,25.781,25.781,-1
4,100,1.449,1.499,0.915,1.295,1.295,0.914,0.154,0.204,0.096,4.3417,4.3397,9.375,10.690,26.562,27.676,-1
4,195,0.708,1.495,0.868,0.556,1.293,0.867,0.152,0.203,0.094,4.2685,4.3122,15.000,10.868,27.500,28.266,-1
4,-1,0.708,1.495,0.868,0.556,1.293,0.867,0.152,0.203,0.094,-1,-1,-1,-1,-1,-1,0.13
5,0,0.708,1.495,0.868,0.556,1.293,0.867,0.152,0.203,0.094,4.4708,4.4708,7.812,7.812,25.781,25.781,-1
5,100,1.369,1.493,0.829,1.286,1.291,0.827,0.083,0.201,0.093,3.9991,4.2582,14.453,11.870,34.375,29.684,-1
5,195,0.665,1.490,0.794,0.512,1.288,0.792,0.153,0.202,0.093,4.2777,4.2426,10.000,11.950,35.000,29.972,-1
5,-1,0.665,1.490,0.794,0.512,1.288,0.792,0.153,0.202,0.093,-1,-1,-1,-1,-1,-1,0.5
6,0,0.665,1.490,0.794,0.512,1.288,0.792,0.153,0.202,0.093,4.1629,4.1629,14.062,14.062,28.516,28.516,-1
6,100,1.688,1.489,0.765,1.259,1.284,0.762,0.429,0.204,0.097,3.9958,4.1742,13.672,13.111,35.156,31.401,-1
6,195,0.710,1.487,0.737,0.545,1.281,0.735,0.165,0.206,0.098,3.9279,4.1458,13.750,13.262,47.500,32.246,-1
6,-1,0.710,1.487,0.737,0.545,1.281,0.735,0.165,0.206,0.098,-1,-1,-1,-1,-1,-1,1.52
7,0,0.710,1.487,0.737,0.545,1.281,0.735,0.165,0.206,0.098,4.0448,4.0448,12.109,12.109,34.375,34.375,-1
7,100,1.463,1.486,0.713,1.248,1.280,0.711,0.215,0.206,0.097,4.1436,4.0688,13.672,14.059,32.812,33.868,-1
7,195,0.694,1.484,0.691,0.496,1.279,0.688,0.198,0.206,0.095,3.7856,4.0498,23.750,14.290,43.750,34.240,-1
7,-1,0.694,1.484,0.691,0.496,1.279,0.688,0.198,0.206,0.095,-1,-1,-1,-1,-1,-1,0.3
8,0,0.694,1.484,0.691,0.496,1.279,0.688,0.198,0.206,0.095,4.0332,4.0332,14.453,14.453,36.719,36.719,-1
8,100,1.331,1.484,0.672,1.246,1.278,0.669,0.085,0.206,0.096,4.0726,3.9902,13.672,15.532,32.422,36.023,-1
8,195,0.968,1.483,0.653,0.524,1.277,0.650,0.444,0.206,0.096,3.8547,3.9770,15.000,15.510,37.500,36.266,-1
8,-1,0.968,1.483,0.653,0.524,1.277,0.650,0.444,0.206,0.096,-1,-1,-1,-1,-1,-1,0.34
9,0,0.968,1.483,0.653,0.524,1.277,0.650,0.444,0.206,0.096,3.9092,3.9092,14.062,14.062,41.406,41.406,-1
9,100,1.516,1.483,0.637,1.265,1.276,0.634,0.251,0.208,0.097,4.0448,3.9063,14.062,16.294,33.594,37.891,-1
9,195,0.724,1.482,0.621,0.533,1.275,0.618,0.191,0.207,0.096,4.1670,3.8870,6.250,16.700,31.250,38.272,-1
9,-1,0.724,1.482,0.621,0.533,1.275,0.618,0.191,0.207,0.096,-1,-1,-1,-1,-1,-1,0.08
10,0,0.724,1.482,0.621,0.533,1.275,0.618,0.191,0.207,0.096,3.8096,3.8096,17.188,17.188,41.797,41.797,-1
10,100,1.200,1.482,0.607,1.016,1.274,0.604,0.184,0.208,0.097,3.7947,3.8300,16.797,17.597,38.281,39.906,-1
10,195,0.676,1.481,0.594,0.505,1.272,0.590,0.171,0.209,0.097,4.1017,3.8188,12.500,17.800,27.500,39.900,-1
10,-1,0.676,1.481,0.594,0.505,1.272,0.590,0.171,0.209,0.097,-1,-1,-1,-1,-1,-1,0.7
11,0,0.676,1.481,0.594,0.505,1.272,0.590,0.171,0.209,0.097,3.7499,3.7499,19.531,19.531,39.062,39.062,-1
11,100,1.206,1.480,0.582,0.997,1.270,0.578,0.208,0.210,0.098,3.8252,3.7382,17.578,18.955,38.672,41.623,-1
11,195,0.677,1.480,0.570,0.497,1.270,0.566,0.180,0.210,0.099,3.6310,3.7418,15.000,18.740,46.250,41.566,-1
11,-1,0.677,1.480,0.570,0.497,1.270,0.566,0.180,0.210,0.099,-1,-1,-1,-1,-1,-1,0.44
12,0,0.677,1.480,0.570,0.497,1.270,0.566,0.180,0.210,0.099,3.6834,3.6834,19.531,19.531,43.359,43.359,-1
12,100,1.789,1.479,0.559,1.274,1.269,0.555,0.515,0.210,0.099,3.5104,3.6749,23.438,19.481,46.094,42.872,-1
12,195,0.697,1.479,0.549,0.500,1.268,0.545,0.197,0.211,0.099,3.7401,3.6608,16.250,19.898,45.000,43.322,-1
12,-1,0.697,1.479,0.549,0.500,1.268,0.545,0.197,0.211,0.099,-1,-1,-1,-1,-1,-1,0.97
13,0,0.697,1.479,0.549,0.500,1.268,0.545,0.197,0.211,0.099,3.7073,3.7073,20.703,20.703,40.625,40.625,-1
13,100,1.506,1.479,0.539,1.266,1.267,0.535,0.239,0.212,0.099,3.7095,3.5965,18.750,21.028,41.797,44.767,-1
13,195,0.703,1.478,0.530,0.494,1.265,0.526,0.208,0.213,0.100,3.6048,3.5970,25.000,20.982,45.000,44.592,-1
13,-1,0.703,1.478,0.530,0.494,1.265,0.526,0.208,0.213,0.100,-1,-1,-1,-1,-1,-1,0.8
14,0,0.703,1.478,0.530,0.494,1.265,0.526,0.208,0.213,0.100,3.4513,3.4513,21.094,21.094,45.703,45.703,-1
14,100,1.450,1.478,0.521,1.013,1.265,0.517,0.437,0.213,0.100,3.6666,3.5367,20.312,22.676,39.453,46.287,-1
14,195,0.704,1.478,0.513,0.409,1.264,0.509,0.295,0.213,0.100,3.5883,3.5399,18.750,22.426,42.500,46.002,-1
