BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.381,1.386,0.084,1.269,1.245,0.061,0.112,0.141,0.059,4.9213,5.7742,5.078,1.682,14.453,6.822,-1
0,195,28.470,1.535,1.987,28.330,1.393,1.986,0.140,0.141,0.050,4.5866,5.2961,6.250,3.134,17.500,11.172,-1
0,-1,28.470,1.535,1.987,28.330,1.393,1.986,0.140,0.141,0.050,-1,-1,-1,-1,-1,-1,0.24
1,0,28.470,1.535,1.987,28.330,1.393,1.986,0.140,0.141,0.050,4.6720,4.6720,5.078,5.078,17.969,17.969,-1
1,100,1.398,1.487,1.629,1.269,1.345,1.628,0.129,0.142,0.052,4.5652,4.4994,9.375,7.785,25.391,22.645,-1
1,195,0.616,1.462,1.406,0.474,1.320,1.406,0.143,0.142,0.049,4.6639,4.4109,7.500,8.916,22.500,24.908,-1
1,-1,0.616,1.462,1.406,0.474,1.320,1.406,0.143,0.142,0.049,-1,-1,-1,-1,-1,-1,0.92
2,0,0.616,1.462,1.406,0.474,1.320,1.406,0.143,0.142,0.049,4.2640,4.2640,9.375,9.375,24.609,24.609,-1
2,100,1.674,1.449,1.261,1.272,1.306,1.260,0.402,0.143,0.049,4.1785,4.1521,11.328,11.989,31.641,31.235,-1
2,195,0.596,1.438,1.149,0.471,1.295,1.149,0.125,0.143,0.050,3.9672,4.0938,15.000,12.890,37.500,32.680,-1
2,-1,0.596,1.438,1.149,0.471,1.295,1.149,0.125,0.143,0.050,-1,-1,-1,-1,-1,-1,0.75
3,0,0.596,1.438,1.149,0.471,1.295,1.149,0.125,0.143,0.050,4.1517,4.1517,12.891,12.891,32.422,32.422,-1
3,100,1.371,1.432,1.067,1.248,1.287,1.065,0.122,0.145,0.055,3.9871,3.9209,15.234,15.811,36.328,36.815,-1
3,195,0.650,1.426,0.997,0.484,1.281,0.996,0.166,0.145,0.054,4.0534,3.8820,17.500,16.320,33.750,37.824,-1
3,-1,0.650,1.426,0.997,0.484,1.281,0.996,0.166,0.145,0.054,-1,-1,-1,-1,-1,-1,0.75
4,0,0.650,1.426,0.997,0.484,1.281,0.996,0.166,0.145,0.054,3.8708,3.8708,17.578,17.578,38.281,38.281,-1
4,100,1.376,1.423,0.942,1.253,1.276,0.940,0.123,0.146,0.057,3.8200,3.7649,17.969,17.915,36.719,40.544,-1
4,195,0.629,1.419,0.893,0.479,1.272,0.892,0.151,0.147,0.058,3.7443,3.7332,22.500,18.710,38.750,41.454,-1
4,-1,0.629,1.419,0.893,0.479,1.272,0.892,0.151,0.147,0.058,-1,-1,-1,-1,-1,-1,0.19
5,0,0.629,1.419,0.893,0.479,1.272,0.892,0.151,0.147,0.058,3.8697,3.8697,16.797,16.797,38.281,38.281,-1
