BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9228,6.9228,0.000,0.000,0.000,0.000,-1
0,100,1.518,1.493,0.084,1.398,1.333,0.065,0.120,0.161,0.070,4.7797,5.3608,3.516,3.102,17.578,11.050,-1
0,195,27.963,1.636,1.943,27.829,1.473,1.944,0.134,0.162,0.078,4.4427,5.0240,10.000,4.772,21.250,15.136,-1
0,-1,27.963,1.636,1.943,27.829,1.473,1.944,0.134,0.162,0.078,-1,-1,-1,-1,-1,-1,0.77
1,0,27.963,1.636,1.943,27.829,1.473,1.944,0.134,0.162,0.078,4.5313,4.5313,8.594,8.594,22.266,22.266,-1
1,100,1.520,1.588,1.594,1.340,1.426,1.594,0.181,0.162,0.078,4.4905,4.3957,7.812,9.313,25.000,25.514,-1
1,195,0.674,1.560,1.377,0.547,1.399,1.376,0.127,0.161,0.078,4.5617,4.2997,8.750,10.662,23.750,27.848,-1
1,-1,0.674,1.560,1.377,0.547,1.399,1.376,0.127,0.161,0.078,-1,-1,-1,-1,-1,-1,0.29
2,0,0.674,1.560,1.377,0.547,1.399,1.376,0.127,0.161,0.078,4.1056,4.1056,10.938,10.938,30.078,30.078,-1
2,100,1.180,1.545,1.236,1.042,1.384,1.234,0.137,0.161,0.079,4.0573,3.9848,17.188,14.782,38.672,35.539,-1
2,195,0.670,1.534,1.127,0.537,1.372,1.125,0.133,0.162,0.083,3.7292,3.9125,21.250,15.740,41.250,37.218,-1
2,-1,0.670,1.534,1.127,0.537,1.372,1.125,0.133,0.162,0.083,-1,-1,-1,-1,-1,-1,0.25
3,0,0.670,1.534,1.127,0.537,1.372,1.125,0.133,0.162,0.083,3.9486,3.9486,15.625,15.625,33.203,33.203,-1
3,100,1.522,1.528,1.046,1.334,1.365,1.044,0.188,0.163,0.081,3.6876,3.6878,16.797,19.222,46.875,42.373,-1
3,195,0.636,1.522,0.978,0.505,1.359,0.976,0.131,0.164,0.082,3.8085,3.6405,20.000,20.058,43.750,43.456,-1
3,-1,0.636,1.522,0.978,0.505,1.359,0.976,0.131,0.164,0.082,-1,-1,-1,-1,-1,-1,1.43
4,0,0.636,1.522,0.978,0.505,1.359,0.976,0.131,0.164,0.082,3.5908,3.5908,25.000,25.000,45.312,45.312,-1
4,100,1.521,1.521,0.924,1.335,1.355,0.922,0.186,0.166,0.084,3.4870,3.4868,21.484,22.973,45.312,47.231,-1
4,195,0.736,1.520,0.877,0.536,1.351,0.874,0.200,0.169,0.087,3.3149,3.4499,22.500,23.446,46.250,48.164,-1
4,-1,0.736,1.520,0.877,0.536,1.351,0.874,0.200,0.169,0.087,-1,-1,-1,-1,-1,-1,0.21
5,0,0.736,1.520,0.877,0.536,1.351,0.874,0.200,0.169,0.087,3.5209,3.5209,21.875,21.875,47.656,47.656,-1
5,100,1.453,1.518,0.838,1.331,1.349,0.835,0.122,0.168,0.085,3.2992,3.3175,23.828,25.828,52.734,51.292,-1
5,195,0.701,1.515,0.802,0.572,1.347,0.799,0.128,0.168,0.085,3.3313,3.2953,27.500,26.140,51.250,51.468,-1
5,-1,0.701,1.515,0.802,0.572,1.347,0.799,0.128,0.168,0.085,-1,-1,-1,-1,-1,-1,0.8
6,0,0.701,1.515,0.802,0.572,1.347,0.799,0.128,0.168,0.085,3.2820,3.2820,27.344,27.344,53.516,53.516,-1
6,100,1.466,1.513,0.771,1.329,1.346,0.768,0.136,0.167,0.083,3.2889,3.1892,29.297,27.657,53.906,53.794,-1
6,195,0.731,1.510,0.743,0.601,1.344,0.740,0.130,0.166,0.081,2.9969,3.1756,32.500,28.024,55.000,53.886,-1
6,-1,0.731,1.510,0.743,0.601,1.344,0.740,0.130,0.166,0.081,-1,-1,-1,-1,-1,-1,0.68
7,0,0.731,1.510,0.743,0.601,1.344,0.740,0.130,0.166,0.081,3.0052,3.0052,32.422,32.422,56.250,56.250,-1
7,100,1.562,1.508,0.719,1.422,1.343,0.716,0.141,0.165,0.080,3.3581,3.1135,28.516,29.680,51.172,55.349,-1
