BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.424,1.405,0.070,1.287,1.272,0.048,0.137,0.133,0.050,4.6248,5.0015,6.641,4.100,18.750,13.459,-1
0,195,28.900,1.693,2.113,28.767,1.424,2.016,0.133,0.269,0.656,5.0086,4.8331,3.750,5.444,11.250,16.474,-1
0,-1,28.900,1.693,2.113,28.767,1.424,2.016,0.133,0.269,0.656,-1,-1,-1,-1,-1,-1,0.39
1,0,28.900,1.693,2.113,28.767,1.424,2.016,0.133,0.269,0.656,4.4805,4.4805,7.812,7.812,20.703,20.703,-1
1,100,1.411,1.599,1.735,1.274,1.376,1.652,0.137,0.222,0.541,4.3638,4.4260,9.375,9.398,26.172,25.271,-1
1,195,0.641,1.550,1.499,0.503,1.351,1.426,0.139,0.200,0.469,4.0482,4.3684,13.750,10.020,33.750,26.678,-1
1,-1,0.641,1.550,1.499,0.503,1.351,1.426,0.139,0.200,0.469,-1,-1,-1,-1,-1,-1,0.53
2,0,0.641,1.550,1.499,0.503,1.351,1.426,0.139,0.200,0.469,4.0205,4.0205,11.719,11.719,33.203,33.203,-1
2,100,1.414,1.524,1.345,1.282,1.337,1.279,0.133,0.187,0.421,4.0238,4.1195,12.500,12.628,35.547,32.658,-1
2,195,0.658,1.505,1.226,0.493,1.325,1.165,0.165,0.180,0.384,3.8956,4.0456,16.250,14.070,41.250,34.404,-1
2,-1,0.658,1.505,1.226,0.493,1.325,1.165,0.165,0.180,0.384,-1,-1,-1,-1,-1,-1,0.13
3,0,0.658,1.505,1.226,0.493,1.325,1.165,0.165,0.180,0.384,3.9437,3.9437,15.625,15.625,39.062,39.062,-1
3,100,1.393,1.492,1.138,1.282,1.318,1.081,0.110,0.174,0.357,3.8131,3.8283,17.188,17.006,41.797,39.240,-1
3,195,0.613,1.481,1.064,0.484,1.311,1.010,0.129,0.171,0.335,3.4972,3.7599,21.250,18.076,45.000,40.792,-1
3,-1,0.613,1.481,1.064,0.484,1.311,1.010,0.129,0.171,0.335,-1,-1,-1,-1,-1,-1,1.13
4,0,0.613,1.481,1.064,0.484,1.311,1.010,0.129,0.171,0.335,3.6580,3.6580,19.922,19.922,44.531,44.531,-1
4,100,1.411,1.474,1.005,1.302,1.306,0.954,0.109,0.168,0.317,3.5695,3.5528,18.359,21.542,42.578,45.216,-1
4,195,0.621,1.467,0.953,0.487,1.302,0.904,0.134,0.165,0.301,3.3059,3.5007,31.250,22.544,51.250,46.574,-1
4,-1,0.621,1.467,0.953,0.487,1.302,0.904,0.134,0.165,0.301,-1,-1,-1,-1,-1,-1,0.3
5,0,0.621,1.467,0.953,0.487,1.302,0.904,0.134,0.165,0.301,3.7706,3.7706,16.016,16.016,43.359,43.359,-1
5,100,1.423,1.462,0.910,1.278,1.299,0.863,0.144,0.163,0.288,3.1143,3.3488,28.906,24.826,57.812,50.391,-1
5,195,0.629,1.457,0.871,0.489,1.296,0.826,0.140,0.161,0.275,3.3966,3.3181,26.250,25.588,48.750,50.954,-1
5,-1,0.629,1.457,0.871,0.489,1.296,0.826,0.140,0.161,0.275,-1,-1,-1,-1,-1,-1,0.54
6,0,0.629,1.457,0.871,0.489,1.296,0.826,0.140,0.161,0.275,3.2759,3.2759,26.953,26.953,50.000,50.000,-1
6,100,1.418,1.453,0.838,1.301,1.294,0.795,0.117,0.159,0.265,3.1434,3.1890,30.859,27.866,55.469,53.748,-1
6,195,0.570,1.449,0.807,0.490,1.292,0.765,0.080,0.158,0.256,2.8314,3.1541,33.750,28.484,62.500,54.562,-1
6,-1,0.570,1.449,0.807,0.490,1.292,0.765,0.080,0.158,0.256,-1,-1,-1,-1,-1,-1,1.07
7,0,0.570,1.449,0.807,0.490,1.292,0.765,0.080,0.158,0.256,3.1385,3.1385,26.172,26.172,55.469,55.469,-1
7,100,1.419,1.447,0.781,1.280,1.289,0.740,0.138,0.158,0.249,3.1743,3.0383,31.641,30.651,53.125,56.822,-1
7,195,0.800,1.445,0.756,0.407,1.284,0.717,0.393,0.162,0.243,2.9151,3.0169,30.000,31.352,55.000,57.432,-1
7,-1,0.800,1.445,0.756,0.407,1.284,0.717,0.393,0.162,0.243,-1,-1,-1,-1,-1,-1,0.52
8,0,0.800,1.445,0.756,0.407,1.284,0.717,0.393,0.162,0.243,2.9104,2.9104,32.031,32.031,59.766,59.766,-1
8,100,1.386,1.443,0.734,1.272,1.282,0.697,0.114,0.162,0.237,3.0638,2.9482,32.422,32.553,60.547,58.826,-1
8,195,0.608,1.441,0.713,0.497,1.281,0.677,0.110,0.161,0.231,2.7572,2.9499,31.250,32.644,65.000,58.772,-1
8,-1,0.608,1.441,0.713,0.497,1.281,0.677,0.110,0.161,0.231,-1,-1,-1,-1,-1,-1,0.29
9,0,0.608,1.441,0.713,0.497,1.281,0.677,0.110,0.161,0.231,2.7852,2.7852,33.594,33.594,62.891,62.891,-1
9,100,1.667,1.440,0.695,1.275,1.279,0.660,0.392,0.161,0.226,3.0962,2.8624,30.469,34.135,56.250,60.346,-1
9,195,0.610,1.438,0.678,0.489,1.276,0.643,0.122,0.163,0.221,3.4013,2.8511,21.250,34.322,57.500,60.778,-1
9,-1,0.610,1.438,0.678,0.489,1.276,0.643,0.122,0.163,0.221,-1,-1,-1,-1,-1,-1,0.59
10,0,0.610,1.438,0.678,0.489,1.276,0.643,0.122,0.163,0.221,2.8566,2.8566,33.203,33.203,60.547,60.547,-1
10,100,1.370,1.437,0.662,1.271,1.275,0.628,0.099,0.161,0.217,2.8444,2.7905,32.812,35.512,59.766,61.750,-1
