BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.397,1.396,0.108,1.265,1.231,0.091,0.131,0.165,0.098,4.6163,5.1456,7.031,3.744,22.266,12.651,-1
0,195,25.029,1.521,1.735,24.899,1.373,1.736,0.130,0.148,0.076,4.9084,4.8969,5.000,5.322,16.250,16.434,-1
0,-1,25.029,1.521,1.735,24.899,1.373,1.736,0.130,0.148,0.076,-1,-1,-1,-1,-1,-1,0.49
1,0,25.029,1.521,1.735,24.899,1.373,1.736,0.130,0.148,0.076,4.4602,4.4602,9.375,9.375,23.828,23.828,-1
1,100,1.403,1.479,1.422,1.271,1.335,1.422,0.131,0.143,0.068,4.2917,4.3936,9.766,9.719,26.172,26.156,-1
1,195,0.583,1.455,1.229,0.481,1.312,1.228,0.102,0.143,0.067,4.0043,4.3187,11.250,10.606,31.250,27.852,-1
1,-1,0.583,1.455,1.229,0.481,1.312,1.228,0.102,0.143,0.067,-1,-1,-1,-1,-1,-1,0.32
2,0,0.583,1.455,1.229,0.481,1.312,1.228,0.102,0.143,0.067,3.9562,3.9562,14.062,14.062,36.328,36.328,-1
2,100,1.386,1.443,1.102,1.263,1.302,1.101,0.123,0.141,0.064,3.8515,4.0217,15.625,14.167,39.453,34.812,-1
2,195,0.597,1.433,1.005,0.483,1.294,1.004,0.114,0.139,0.060,3.7670,3.9404,16.250,15.656,41.250,36.606,-1
2,-1,0.597,1.433,1.005,0.483,1.294,1.004,0.114,0.139,0.060,-1,-1,-1,-1,-1,-1,0.24
3,0,0.597,1.433,1.005,0.483,1.294,1.004,0.114,0.139,0.060,3.8319,3.8319,17.578,17.578,41.406,41.406,-1
3,100,1.416,1.427,0.932,1.283,1.289,0.931,0.133,0.138,0.058,3.7464,3.7161,17.578,18.777,41.797,41.549,-1
3,195,0.760,1.422,0.871,0.372,1.283,0.870,0.388,0.139,0.059,3.3896,3.6491,22.500,19.906,45.000,43.182,-1
3,-1,0.760,1.422,0.871,0.372,1.283,0.870,0.388,0.139,0.059,-1,-1,-1,-1,-1,-1,0.89
4,0,0.760,1.422,0.871,0.372,1.283,0.870,0.388,0.139,0.059,3.5627,3.5627,22.656,22.656,45.312,45.312,-1
4,100,1.415,1.419,0.822,1.282,1.280,0.822,0.133,0.138,0.056,3.5485,3.4572,20.312,23.225,44.531,47.409,-1
4,195,0.785,1.415,0.780,0.396,1.276,0.779,0.388,0.139,0.057,3.2744,3.4111,22.500,24.014,55.000,48.656,-1
