BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,2.825,2.894,0.197,2.566,2.613,0.140,0.259,0.282,0.148,4.6111,5.0048,7.031,3.949,18.359,13.150,-1
0,195,27.530,3.028,1.818,27.296,2.746,1.816,0.234,0.282,0.149,4.9782,4.8455,2.500,5.238,10.000,16.160,-1
0,-1,27.530,3.028,1.818,27.296,2.746,1.816,0.234,0.282,0.149,-1,-1,-1,-1,-1,-1,0.34
1,0,27.530,3.028,1.818,27.296,2.746,1.816,0.234,0.282,0.149,4.5587,4.5587,7.812,7.812,20.312,20.312,-1
1,100,2.846,2.988,1.494,2.689,2.708,1.490,0.157,0.280,0.146,4.4984,4.5162,7.422,8.474,20.703,23.314,-1
1,195,1.320,2.959,1.294,1.082,2.686,1.289,0.239,0.273,0.133,4.2268,4.4823,10.000,8.912,28.750,24.154,-1
1,-1,1.320,2.959,1.294,1.082,2.686,1.289,0.239,0.273,0.133,-1,-1,-1,-1,-1,-1,0.31
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.389,1.401,0.044,1.294,1.297,0.030,0.095,0.103,0.034,4.6038,5.0059,6.641,3.953,20.703,13.026,-1
0,195,28.330,1.548,1.975,28.227,1.440,1.975,0.103,0.108,0.046,5.0013,4.8488,2.500,5.184,10.000,16.006,-1
0,-1,28.330,1.548,1.975,28.227,1.440,1.975,0.103,0.108,0.046,-1,-1,-1,-1,-1,-1,0.25
1,0,28.330,1.548,1.975,28.227,1.440,1.975,0.103,0.108,0.046,4.5709,4.5709,7.422,7.422,19.922,19.922,-1
1,100,1.403,1.501,1.619,1.304,1.388,1.619,0.099,0.113,0.058,4.5021,4.5223,7.422,8.311,22.656,23.167,-1
1,195,0.591,1.474,1.399,0.487,1.361,1.398,0.103,0.113,0.059,4.2054,4.4879,11.250,8.744,31.250,24.062,-1
1,-1,0.591,1.474,1.399,0.487,1.361,1.398,0.103,0.113,0.059,-1,-1,-1,-1,-1,-1,0.27
2,0,0.591,1.474,1.399,0.487,1.361,1.398,0.103,0.113,0.059,4.2131,4.2131,12.109,12.109,29.688,29.688,-1
2,100,1.385,1.460,1.254,1.295,1.349,1.253,0.090,0.112,0.055,4.2827,4.3323,13.672,10.431,29.297,27.908,-1
2,195,0.596,1.449,1.143,0.492,1.337,1.142,0.104,0.112,0.056,4.1645,4.2946,10.000,11.108,32.500,28.830,-1
2,-1,0.596,1.449,1.143,0.492,1.337,1.142,0.104,0.112,0.056,-1,-1,-1,-1,-1,-1,0.2
3,0,0.596,1.449,1.143,0.492,1.337,1.142,0.104,0.112,0.056,4.1770,4.1770,12.109,12.109,29.297,29.297,-1
3,100,1.383,1.443,1.060,1.294,1.331,1.059,0.089,0.112,0.056,4.2050,4.1636,10.938,12.566,33.594,31.498,-1
3,195,0.590,1.436,0.991,0.488,1.325,0.990,0.102,0.111,0.056,3.9872,4.1223,16.250,13.124,40.000,32.484,-1
3,-1,0.590,1.436,0.991,0.488,1.325,0.990,0.102,0.111,0.056,-1,-1,-1,-1,-1,-1,2.97
4,0,0.590,1.436,0.991,0.488,1.325,0.990,0.102,0.111,0.056,4.1120,4.1120,15.625,15.625,35.156,35.156,-1
4,100,1.411,1.433,0.936,1.305,1.322,0.935,0.106,0.111,0.054,4.0156,3.9889,12.500,15.207,33.594,35.493,-1
4,195,0.586,1.429,0.887,0.483,1.319,0.886,0.103,0.110,0.052,3.8140,3.9470,21.250,15.574,38.750,36.624,-1
4,-1,0.586,1.429,0.887,0.483,1.319,0.886,0.103,0.110,0.052,-1,-1,-1,-1,-1,-1,0.85
5,0,0.586,1.429,0.887,0.483,1.319,0.886,0.103,0.110,0.052,4.1095,4.1095,12.109,12.109,32.031,32.031,-1
5,100,1.395,1.426,0.847,1.300,1.316,0.846,0.095,0.110,0.051,3.5681,3.8310,19.922,16.901,46.484,39.380,-1
5,195,0.502,1.424,0.811,0.405,1.314,0.809,0.097,0.110,0.051,3.9629,3.7910,17.500,17.756,42.500,40.348,-1
5,-1,0.502,1.424,0.811,0.405,1.314,0.809,0.097,0.110,0.051,-1,-1,-1,-1,-1,-1,1.0
6,0,0.502,1.424,0.811,0.405,1.314,0.809,0.097,0.110,0.051,3.6714,3.6714,20.312,20.312,41.016,41.016,-1
