BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,2.725,2.910,0.239,2.435,2.576,0.212,0.290,0.334,0.220,4.6868,5.0700,6.250,3.469,18.359,12.345,-1
0,195,28.053,3.041,1.855,27.790,2.665,1.868,0.263,0.376,0.251,5.0464,4.9043,1.250,4.832,10.000,15.180,-1
0,-1,28.053,3.041,1.855,27.790,2.665,1.868,0.263,0.376,0.251,-1,-1,-1,-1,-1,-1,0.28
1,0,28.053,3.041,1.855,27.790,2.665,1.868,0.263,0.376,0.251,4.6335,4.6335,8.203,8.203,18.750,18.750,-1
1,100,2.295,2.991,1.524,2.031,2.631,1.535,0.265,0.360,0.238,4.5845,4.6086,6.250,7.534,19.531,21.175,-1
1,195,1.726,2.965,1.319,0.846,2.537,1.344,0.880,0.428,0.279,4.4032,4.5821,8.750,7.834,25.000,21.786,-1
1,-1,1.726,2.965,1.319,0.846,2.537,1.344,0.880,0.428,0.279,-1,-1,-1,-1,-1,-1,0.26
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.755,1.470,0.137,1.313,1.235,0.109,0.442,0.235,0.122,4.6792,5.0680,6.250,3.535,19.141,12.461,-1
0,195,25.722,1.608,1.781,25.531,1.378,1.783,0.191,0.230,0.114,5.0444,4.9039,3.750,4.900,10.000,15.226,-1
0,-1,25.722,1.608,1.781,25.531,1.378,1.783,0.191,0.230,0.114,-1,-1,-1,-1,-1,-1,0.33
1,0,25.722,1.608,1.781,25.531,1.378,1.783,0.191,0.230,0.114,4.6435,4.6435,7.812,7.812,17.969,17.969,-1
1,100,1.497,1.570,1.463,1.303,1.319,1.464,0.194,0.252,0.127,4.5693,4.6064,5.859,7.573,19.141,21.190,-1
1,195,0.687,1.546,1.266,0.516,1.299,1.265,0.171,0.247,0.124,4.3908,4.5754,8.750,7.936,26.250,21.894,-1
1,-1,0.687,1.546,1.266,0.516,1.299,1.265,0.171,0.247,0.124,-1,-1,-1,-1,-1,-1,0.26
2,0,0.687,1.546,1.266,0.516,1.299,1.265,0.171,0.247,0.124,4.3412,4.3412,12.109,12.109,28.516,28.516,-1
2,100,1.470,1.531,1.136,1.306,1.294,1.134,0.164,0.237,0.119,4.4038,4.4376,9.766,9.004,27.344,25.182,-1
2,195,0.678,1.519,1.037,0.509,1.286,1.034,0.169,0.234,0.117,4.2968,4.4069,7.500,9.688,32.500,26.040,-1
2,-1,0.678,1.519,1.037,0.509,1.286,1.034,0.169,0.234,0.117,-1,-1,-1,-1,-1,-1,0.13
3,0,0.678,1.519,1.037,0.509,1.286,1.034,0.169,0.234,0.117,4.2987,4.2987,12.500,12.500,29.297,29.297,-1
3,100,1.308,1.513,0.962,1.142,1.282,0.959,0.166,0.230,0.114,4.3972,4.3124,8.594,10.849,28.906,28.253,-1
3,195,0.771,1.506,0.900,0.583,1.279,0.897,0.188,0.227,0.112,4.1528,4.2893,6.250,11.036,32.500,28.628,-1
3,-1,0.771,1.506,0.900,0.583,1.279,0.897,0.188,0.227,0.112,-1,-1,-1,-1,-1,-1,1.25
4,0,0.771,1.506,0.900,0.583,1.279,0.897,0.188,0.227,0.112,4.3277,4.3277,10.938,10.938,30.078,30.078,-1
4,100,1.535,1.502,0.851,1.104,1.277,0.847,0.431,0.225,0.111,4.2317,4.2013,10.547,12.380,26.953,30.604,-1
4,195,0.665,1.500,0.808,0.489,1.273,0.803,0.176,0.226,0.111,4.1635,4.1643,11.250,12.682,28.750,31.548,-1
4,-1,0.665,1.500,0.808,0.489,1.273,0.803,0.176,0.226,0.111,-1,-1,-1,-1,-1,-1,0.26
5,0,0.665,1.500,0.808,0.489,1.273,0.803,0.176,0.226,0.111,4.2693,4.2693,10.547,10.547,31.250,31.250,-1
5,100,1.554,1.498,0.771,1.157,1.268,0.768,0.397,0.230,0.114,3.7571,4.0796,16.797,13.637,43.750,33.745,-1
5,195,0.671,1.495,0.739,0.494,1.266,0.735,0.177,0.229,0.113,4.1410,4.0524,13.750,14.122,37.500,34.398,-1
5,-1,0.671,1.495,0.739,0.494,1.266,0.735,0.177,0.229,0.113,-1,-1,-1,-1,-1,-1,0.65
6,0,0.671,1.495,0.739,0.494,1.266,0.735,0.177,0.229,0.113,3.9535,3.9535,18.359,18.359,36.328,36.328,-1
6,100,1.550,1.494,0.711,1.095,1.263,0.707,0.454,0.231,0.115,3.7893,3.9529,14.453,15.857,39.844,36.429,-1
6,195,0.880,1.493,0.685,0.451,1.257,0.682,0.429,0.235,0.117,3.5150,3.9140,21.250,16.324,51.250,37.476,-1
