BEGIN-TRAINING
World-Size,2
Num-DLWorkers,10
Batch-Size,256
Epoch,itr,BT(s),avg:BT(s),std:BT(s),NT(s),avg:NT(s),std:NT(s),DT(s),avg:DT(s),std:DT(s),Loss,avg:Loss,Prec@1,avg:Prec@1,Prec@5,avg:Prec@5,val
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.9254,6.9254,0.000,0.000,0.000,0.000,-1
0,100,1.394,1.414,0.111,1.281,1.220,0.109,0.113,0.193,0.120,4.8869,5.3995,5.078,2.800,17.188,9.909,-1
0,195,26.492,1.559,1.841,26.348,1.363,1.845,0.144,0.196,0.117,5.0459,5.1357,1.250,3.876,8.750,12.690,-1
0,-1,26.492,1.559,1.841,26.348,1.363,1.845,0.144,0.196,0.117,-1,-1,-1,-1,-1,-1,0.15
1,0,26.492,1.559,1.841,26.348,1.363,1.845,0.144,0.196,0.117,4.7904,4.7904,5.859,5.859,17.578,17.578,-1
1,100,1.458,1.516,1.510,1.314,1.330,1.512,0.144,0.186,0.111,4.7313,4.7560,3.516,5.786,18.750,18.239,-1
1,195,0.609,1.492,1.304,0.484,1.313,1.305,0.125,0.178,0.103,4.6543,4.7349,5.000,6.180,18.750,18.566,-1
1,-1,0.609,1.492,1.304,0.484,1.313,1.305,0.125,0.178,0.103,-1,-1,-1,-1,-1,-1,0.35
2,0,0.609,1.492,1.304,0.484,1.313,1.305,0.125,0.178,0.103,4.5678,4.5678,10.547,10.547,19.922,19.922,-1
2,100,1.406,1.477,1.170,1.277,1.304,1.170,0.129,0.173,0.099,4.6534,4.6491,5.859,7.101,19.531,20.324,-1
2,195,0.643,1.467,1.066,0.501,1.297,1.067,0.142,0.170,0.096,4.5614,4.6323,8.750,7.370,26.250,20.916,-1
2,-1,0.643,1.467,1.066,0.501,1.297,1.067,0.142,0.170,0.096,-1,-1,-1,-1,-1,-1,0.1
3,0,0.643,1.467,1.066,0.501,1.297,1.067,0.142,0.170,0.096,4.5311,4.5311,8.203,8.203,25.391,25.391,-1
3,100,1.460,1.460,0.990,1.053,1.287,0.990,0.407,0.173,0.099,4.5720,4.5640,8.594,7.952,24.219,22.204,-1
3,195,0.643,1.454,0.925,0.502,1.282,0.926,0.140,0.172,0.098,4.5596,4.5494,6.250,8.142,25.000,22.764,-1
3,-1,0.643,1.454,0.925,0.502,1.282,0.926,0.140,0.172,0.098,-1,-1,-1,-1,-1,-1,0.95
4,0,0.643,1.454,0.925,0.502,1.282,0.926,0.140,0.172,0.098,4.5121,4.5121,8.203,8.203,24.219,24.219,-1
4,100,1.485,1.451,0.874,1.074,1.278,0.874,0.411,0.174,0.100,4.4544,4.4900,7.812,9.182,23.438,24.180,-1
4,195,0.685,1.448,0.829,0.485,1.273,0.829,0.200,0.175,0.099,4.3824,4.4652,8.750,9.338,27.500,24.954,-1
4,-1,0.685,1.448,0.829,0.485,1.273,0.829,0.200,0.175,0.099,-1,-1,-1,-1,-1,-1,0.14
5,0,0.685,1.448,0.829,0.485,1.273,0.829,0.200,0.175,0.099,4.5096,4.5096,7.422,7.422,22.266,22.266,-1
5,100,1.402,1.446,0.792,1.271,1.270,0.792,0.130,0.176,0.099,4.1706,4.4103,12.500,9.920,29.688,26.203,-1
5,195,0.605,1.444,0.758,0.482,1.265,0.758,0.123,0.179,0.102,4.3713,4.3978,13.750,10.068,33.750,26.526,-1
5,-1,0.605,1.444,0.758,0.482,1.265,0.758,0.123,0.179,0.102,-1,-1,-1,-1,-1,-1,0.34
6,0,0.605,1.444,0.758,0.482,1.265,0.758,0.123,0.179,0.102,4.2899,4.2899,12.891,12.891,28.125,28.125,-1
6,100,1.407,1.442,0.730,1.272,1.263,0.730,0.135,0.180,0.102,4.2424,4.3503,11.328,10.547,27.344,27.367,-1
6,195,0.637,1.440,0.703,0.499,1.262,0.703,0.138,0.178,0.102,4.2686,4.3263,10.000,10.860,31.250,28.146,-1
6,-1,0.637,1.440,0.703,0.499,1.262,0.703,0.138,0.178,0.102,-1,-1,-1,-1,-1,-1,0.33
7,0,0.637,1.440,0.703,0.499,1.262,0.703,0.138,0.178,0.102,4.1979,4.1979,10.156,10.156,30.078,30.078,-1
7,100,1.440,1.438,0.680,1.049,1.260,0.680,0.391,0.179,0.102,4.3271,4.2733,12.500,11.510,29.688,29.270,-1
7,195,0.621,1.437,0.659,0.486,1.258,0.659,0.135,0.179,0.102,4.0628,4.2629,17.500,11.584,37.500,29.508,-1
7,-1,0.621,1.437,0.659,0.486,1.258,0.659,0.135,0.179,0.102,-1,-1,-1,-1,-1,-1,0.26
8,0,0.621,1.437,0.659,0.486,1.258,0.659,0.135,0.179,0.102,4.1734,4.1734,13.672,13.672,32.812,32.812,-1
8,100,1.408,1.436,0.640,1.277,1.258,0.640,0.132,0.178,0.101,4.3444,4.2251,11.719,12.171,28.125,30.666,-1
8,195,0.596,1.435,0.622,0.486,1.256,0.622,0.110,0.179,0.102,4.2027,4.2193,10.000,12.206,28.750,30.558,-1
8,-1,0.596,1.435,0.622,0.486,1.256,0.622,0.110,0.179,0.102,-1,-1,-1,-1,-1,-1,0.16
9,0,0.596,1.435,0.622,0.486,1.256,0.622,0.110,0.179,0.102,4.1203,4.1203,12.891,12.891,39.062,39.062,-1
9,100,1.397,1.435,0.606,1.268,1.254,0.606,0.129,0.181,0.103,4.3169,4.1801,9.766,12.763,28.516,31.412,-1
9,195,0.605,1.434,0.591,0.483,1.254,0.591,0.122,0.180,0.102,4.3406,4.1637,5.000,12.958,22.500,31.978,-1
9,-1,0.605,1.434,0.591,0.483,1.254,0.591,0.122,0.180,0.102,-1,-1,-1,-1,-1,-1,0.15
10,0,0.605,1.434,0.591,0.483,1.254,0.591,0.122,0.180,0.102,4.1833,4.1833,13.672,13.672,33.984,33.984,-1
10,100,1.462,1.433,0.578,1.276,1.252,0.578,0.186,0.181,0.102,4.1490,4.1282,12.891,13.347,33.203,32.948,-1
